CD_MUN,time,AREA_KM2,NM_MUN,SIGLA,t2m,t2m_min,t2m_max
1302603,1/1/02,11401.092,Manaus,AM,26.1505,23.20608,29.88693
1302603,1/2/02,11401.092,Manaus,AM,25.60424,23.10522,29.67028
1302603,1/3/02,11401.092,Manaus,AM,25.9333,22.4267,31.14193
1302603,1/4/02,11401.092,Manaus,AM,26.32083,23.37167,31.62374
1302603,1/5/02,11401.092,Manaus,AM,26.46282,23.25588,31.37225
1302603,1/6/02,11401.092,Manaus,AM,26.88363,23.41897,32.2251
1302603,1/7/02,11401.092,Manaus,AM,26.39602,23.16375,31.68725
1302603,1/8/02,11401.092,Manaus,AM,26.15573,23.05294,30.8344
1302603,1/9/02,11401.092,Manaus,AM,26.44195,22.86993,30.12722
1302603,1/10/02,11401.092,Manaus,AM,25.75964,22.86743,29.8558
1302603,1/11/02,11401.092,Manaus,AM,26.79385,23.42147,33.53738
1302603,1/12/02,11401.092,Manaus,AM,26.30175,22.87863,30.807
1302603,1/13/02,11401.092,Manaus,AM,26.8127,22.47152,31.7221
1302603,1/14/02,11401.092,Manaus,AM,26.63787,23.31564,31.16805
1302603,1/15/02,11401.092,Manaus,AM,25.79745,23.08282,30.26666
1302603,1/16/02,11401.092,Manaus,AM,26.06497,22.3993,31.8628
1302603,1/17/02,11401.092,Manaus,AM,27.20638,23.1488,32.07818
1302603,1/18/02,11401.092,Manaus,AM,27.4328,23.09652,32.6148
1302603,1/19/02,11401.092,Manaus,AM,26.40984,23.03427,31.47808
1302603,1/20/02,11401.092,Manaus,AM,25.13256,21.92867,28.7826
1302603,1/21/02,11401.092,Manaus,AM,25.74435,22.47152,31.62997
1302603,1/22/02,11401.092,Manaus,AM,26.40463,22.535,31.5752
1302603,1/23/02,11401.092,Manaus,AM,26.55908,22.42172,32.06448
1302603,1/24/02,11401.092,Manaus,AM,26.70318,22.29846,32.6758
1302603,1/25/02,11401.092,Manaus,AM,25.86553,23.51486,29.16482
