AREA_KM2,time,NM_MUN,SIGLA,CD_MUN,t2m,t2m_min,t2m_max
312.353,2005-01-01,Fortaleza,CE,2304400,27.612000000000023,26.139670000000024,29.90518000000003
312.353,2005-01-02,Fortaleza,CE,2304400,28.093440000000044,26.620360000000005,30.06850000000003
312.353,2005-01-03,Fortaleza,CE,2304400,27.965779999999995,26.536980000000028,30.621000000000038
312.353,2005-01-04,Fortaleza,CE,2304400,28.006619999999998,26.37133,30.44726000000003
312.353,2005-01-05,Fortaleza,CE,2304400,27.867970000000014,26.107259999999997,30.57003000000003
312.353,2005-01-06,Fortaleza,CE,2304400,27.888450000000034,26.30764000000005,30.483150000000023
312.353,2005-01-07,Fortaleza,CE,2304400,27.78155000000004,26.161699999999996,30.260770000000036
312.353,2005-01-08,Fortaleza,CE,2304400,27.789120000000025,26.627300000000048,30.43682000000001
312.353,2005-01-09,Fortaleza,CE,2304400,27.766500000000008,26.081780000000037,30.248040000000003
312.353,2005-01-10,Fortaleza,CE,2304400,27.90844000000004,25.993740000000003,30.576960000000042
312.353,2005-01-11,Fortaleza,CE,2304400,28.07433000000003,26.38873000000001,30.790099999999995
312.353,2005-01-12,Fortaleza,CE,2304400,27.746640000000014,26.429250000000025,29.78472000000005
312.353,2005-01-13,Fortaleza,CE,2304400,27.732870000000048,25.96478000000002,30.25613000000004
312.353,2005-01-14,Fortaleza,CE,2304400,27.685400000000016,25.38336000000004,30.734500000000025
312.353,2005-01-15,Fortaleza,CE,2304400,28.030760000000043,26.359770000000026,30.25613000000004
312.353,2005-01-16,Fortaleza,CE,2304400,27.585500000000025,26.447780000000023,28.84190000000001
312.353,2005-01-17,Fortaleza,CE,2304400,27.417380000000037,26.562460000000044,28.42724000000004
312.353,2005-01-18,Fortaleza,CE,2304400,27.718800000000044,26.03660000000002,30.385860000000037
312.353,2005-01-19,Fortaleza,CE,2304400,28.270780000000002,26.519600000000025,29.98162000000002
312.353,2005-01-20,Fortaleza,CE,2304400,27.50920000000002,25.92425000000003,29.51254
312.353,2005-01-21,Fortaleza,CE,2304400,27.61420000000004,25.835080000000005,29.40133000000003
312.353,2005-01-22,Fortaleza,CE,2304400,28.157219999999995,26.446619999999996,30.510950000000037
312.353,2005-01-23,Fortaleza,CE,2304400,27.934799999999996,26.2115,30.409019999999998
312.353,2005-01-24,Fortaleza,CE,2304400,27.583860000000016,25.471370000000036,30.183160000000044
312.353,2005-01-25,Fortaleza,CE,2304400,27.40070000000003,25.008080000000007,29.71407000000005
312.353,2005-01-26,Fortaleza,CE,2304400,27.66345000000001,25.54666000000003,29.772000000000048
312.353,2005-01-27,Fortaleza,CE,2304400,27.927880000000016,25.81307000000004,30.42986000000002
312.353,2005-01-28,Fortaleza,CE,2304400,27.864070000000027,26.24624,29.97582
312.353,2005-01-29,Fortaleza,CE,2304400,27.95156000000003,26.203400000000045,30.376580000000047
312.353,2005-01-30,Fortaleza,CE,2304400,27.989220000000046,26.312280000000044,29.94457
312.353,2005-01-31,Fortaleza,CE,2304400,28.06310000000002,26.247400000000027,30.43914000000001
312.353,2005-02-01,Fortaleza,CE,2304400,27.28564,25.730830000000026,28.23266000000001
312.353,2005-02-02,Fortaleza,CE,2304400,27.54785000000004,25.802639999999997,29.901700000000005
312.353,2005-02-03,Fortaleza,CE,2304400,27.863699999999994,26.377130000000022,29.95150000000001
312.353,2005-02-04,Fortaleza,CE,2304400,28.35143000000005,26.59603000000004,30.93720000000002
312.353,2005-02-05,Fortaleza,CE,2304400,28.309780000000046,26.519600000000025,30.651100000000042
312.353,2005-02-06,Fortaleza,CE,2304400,27.609500000000025,26.543900000000008,28.772400000000005
312.353,2005-02-07,Fortaleza,CE,2304400,27.65835000000004,26.594870000000014,29.76504
312.353,2005-02-08,Fortaleza,CE,2304400,27.645530000000008,26.416500000000042,29.33764000000002
312.353,2005-02-09,Fortaleza,CE,2304400,27.865560000000016,26.243920000000003,30.140300000000025
312.353,2005-02-10,Fortaleza,CE,2304400,27.858240000000023,26.203400000000045,30.05227000000002
312.353,2005-02-11,Fortaleza,CE,2304400,28.04430000000002,26.15010000000001,30.63372000000004
312.353,2005-02-12,Fortaleza,CE,2304400,27.64960000000002,26.152430000000038,29.356160000000045
312.353,2005-02-13,Fortaleza,CE,2304400,28.160060000000044,26.847380000000044,30.15536000000003
312.353,2005-02-14,Fortaleza,CE,2304400,27.902030000000025,25.831600000000037,30.39166
312.353,2005-02-15,Fortaleza,CE,2304400,26.732700000000023,25.063649999999996,28.356600000000014
312.353,2005-02-16,Fortaleza,CE,2304400,26.182240000000036,24.67100000000005,27.98248000000001
312.353,2005-02-17,Fortaleza,CE,2304400,26.814300000000003,25.154020000000003,29.18127000000004
312.353,2005-02-18,Fortaleza,CE,2304400,27.828400000000045,25.689099999999996,30.93255000000005
312.353,2005-02-19,Fortaleza,CE,2304400,28.272580000000005,26.484860000000026,30.82253000000003
312.353,2005-02-20,Fortaleza,CE,2304400,27.955070000000035,25.97985,30.149560000000008
312.353,2005-02-21,Fortaleza,CE,2304400,28.228170000000034,26.604150000000004,30.44494000000003
312.353,2005-02-22,Fortaleza,CE,2304400,28.089930000000038,26.053980000000024,30.917500000000018
312.353,2005-02-23,Fortaleza,CE,2304400,27.852779999999996,26.29952000000003,29.561180000000036
312.353,2005-02-24,Fortaleza,CE,2304400,27.95455000000004,26.56707,29.838000000000022
312.353,2005-02-25,Fortaleza,CE,2304400,26.995660000000044,25.751670000000047,28.731870000000015
312.353,2005-02-26,Fortaleza,CE,2304400,27.279600000000016,25.353229999999996,29.80093000000005
312.353,2005-02-27,Fortaleza,CE,2304400,27.23705000000001,25.545500000000004,29.12106
312.353,2005-02-28,Fortaleza,CE,2304400,27.57238000000001,25.950900000000047,29.37817000000001
312.353,2005-03-01,Fortaleza,CE,2304400,28.123770000000036,26.55782000000005,29.996700000000033
312.353,2005-03-02,Fortaleza,CE,2304400,27.73162000000002,26.242760000000033,28.982050000000015
312.353,2005-03-03,Fortaleza,CE,2304400,27.925350000000037,26.72112000000004,29.139580000000024
312.353,2005-03-04,Fortaleza,CE,2304400,27.980340000000012,26.657430000000033,29.453450000000032
312.353,2005-03-05,Fortaleza,CE,2304400,28.220420000000047,26.703760000000045,30.10208
312.353,2005-03-06,Fortaleza,CE,2304400,28.148000000000025,26.298360000000002,30.64068000000003
312.353,2005-03-07,Fortaleza,CE,2304400,28.075680000000034,26.32385000000005,30.345330000000047
312.353,2005-03-08,Fortaleza,CE,2304400,28.100000000000023,26.58910000000003,30.53063000000003
312.353,2005-03-09,Fortaleza,CE,2304400,28.11880000000002,26.6053,30.082400000000007
312.353,2005-03-10,Fortaleza,CE,2304400,28.034050000000036,26.292570000000012,30.03490000000005
312.353,2005-03-11,Fortaleza,CE,2304400,27.16378000000003,25.88488000000001,28.195580000000007
312.353,2005-03-12,Fortaleza,CE,2304400,27.337400000000002,25.802639999999997,29.240350000000035
312.353,2005-03-13,Fortaleza,CE,2304400,27.139430000000004,25.49917000000005,28.251180000000033
312.353,2005-03-14,Fortaleza,CE,2304400,28.35253,26.07018000000005,30.763450000000034
312.353,2005-03-15,Fortaleza,CE,2304400,28.10143000000005,26.833500000000015,29.661950000000047
312.353,2005-03-16,Fortaleza,CE,2304400,28.123559999999998,26.462850000000003,30.23992000000004
312.353,2005-03-17,Fortaleza,CE,2304400,27.995660000000044,26.29952000000003,29.970060000000046
312.353,2005-03-18,Fortaleza,CE,2304400,27.53546,26.41882000000004,28.595180000000028
312.353,2005-03-19,Fortaleza,CE,2304400,26.930600000000027,26.013450000000034,28.127250000000004
312.353,2005-03-20,Fortaleza,CE,2304400,27.157219999999995,25.37408000000005,28.957730000000026
312.353,2005-03-21,Fortaleza,CE,2304400,26.119470000000035,24.74514000000005,27.170530000000042
312.353,2005-03-22,Fortaleza,CE,2304400,26.657039999999995,25.059050000000013,28.24770000000001
312.353,2005-03-23,Fortaleza,CE,2304400,26.236500000000035,24.607320000000016,27.868980000000022
312.353,2005-03-24,Fortaleza,CE,2304400,26.30310000000003,25.04050000000001,27.19833
312.353,2005-03-25,Fortaleza,CE,2304400,26.679380000000037,24.47296,28.811800000000005
312.353,2005-03-26,Fortaleza,CE,2304400,26.91906,25.23046000000005,28.60098000000005
312.353,2005-03-27,Fortaleza,CE,2304400,26.275450000000035,24.793800000000033,27.22150000000005
312.353,2005-03-28,Fortaleza,CE,2304400,26.11486000000002,24.33743000000004,28.48284000000001
312.353,2005-03-29,Fortaleza,CE,2304400,26.7337,25.086820000000046,28.26162000000005
312.353,2005-03-30,Fortaleza,CE,2304400,26.32433000000003,24.71386000000001,27.874750000000006
312.353,2005-03-31,Fortaleza,CE,2304400,26.328640000000007,24.819270000000017,27.90255000000002
312.353,2005-04-01,Fortaleza,CE,2304400,26.31910000000005,25.23162000000002,27.266700000000014
312.353,2005-04-02,Fortaleza,CE,2304400,27.15673000000004,25.228139999999996,29.59707000000003
312.353,2005-04-03,Fortaleza,CE,2304400,27.53707000000003,25.313840000000027,29.60635000000002
312.353,2005-04-04,Fortaleza,CE,2304400,27.204000000000008,25.398400000000038,28.510640000000024
312.353,2005-04-05,Fortaleza,CE,2304400,27.518580000000043,25.73547000000002,29.60055
312.353,2005-04-06,Fortaleza,CE,2304400,27.28665000000001,25.751670000000047,28.836100000000044
312.353,2005-04-07,Fortaleza,CE,2304400,27.432860000000005,26.201070000000016,29.328360000000032
