time,AREA_KM2,NM_MUN,CD_MUN,SIGLA,t2m,t2m_min,t2m_max
1/1/03,312.353,Fortaleza,2304400,CE,27.65283,26.2667,29.64385
1/2/03,312.353,Fortaleza,2304400,CE,27.63476,26.12686,29.76827
1/3/03,312.353,Fortaleza,2304400,CE,27.64422,26.038,30.12377
1/4/03,312.353,Fortaleza,2304400,CE,27.9389,26.0072,30.78854
1/5/03,312.353,Fortaleza,2304400,CE,27.92108,26.17428,30.1558
1/6/03,312.353,Fortaleza,2304400,CE,28.03207,26.5641,30.37026
1/7/03,312.353,Fortaleza,2304400,CE,28.02432,26.46813,30.39987
1/8/03,312.353,Fortaleza,2304400,CE,27.9056,26.1956,30.00765
1/9/03,312.353,Fortaleza,2304400,CE,27.85034,26.10436,30.27902
1/10/03,312.353,Fortaleza,2304400,CE,27.80483,26.15887,30.22332
1/11/03,312.353,Fortaleza,2304400,CE,27.80285,26.00482,30.27545
1/12/03,312.353,Fortaleza,2304400,CE,27.67828,25.97994,29.96737
1/13/03,312.353,Fortaleza,2304400,CE,27.6383,25.92187,29.8548
1/14/03,312.353,Fortaleza,2304400,CE,27.64996,25.90765,30.1439
1/15/03,312.353,Fortaleza,2304400,CE,27.74886,25.7702,30.67123
1/16/03,312.353,Fortaleza,2304400,CE,27.79867,25.84484,30.57998
1/17/03,312.353,Fortaleza,2304400,CE,28.01678,26.0605,30.92245
1/18/03,312.353,Fortaleza,2304400,CE,27.41393,26.17544,29.14144
1/19/03,312.353,Fortaleza,2304400,CE,26.5773,24.8459,28.402
1/20/03,312.353,Fortaleza,2304400,CE,25.76565,24.84,26.49185
1/21/03,312.353,Fortaleza,2304400,CE,26.4532,24.58877,28.5371
1/22/03,312.353,Fortaleza,2304400,CE,26.7225,24.6089,28.30483
1/23/03,312.353,Fortaleza,2304400,CE,26.29168,25.4704,27.53106
1/24/03,312.353,Fortaleza,2304400,CE,25.74127,24.44894,27.82375
1/25/03,312.353,Fortaleza,2304400,CE,26.6023,24.80917,28.812
1/26/03,312.353,Fortaleza,2304400,CE,26.63583,24.5722,28.9234
1/27/03,312.353,Fortaleza,2304400,CE,25.92208,24.7381,27.57253
1/28/03,312.353,Fortaleza,2304400,CE,26.4363,24.9502,27.99084
1/29/03,312.353,Fortaleza,2304400,CE,27.07055,24.70373,28.91866
1/30/03,312.353,Fortaleza,2304400,CE,26.5796,24.8305,29.25045
1/31/03,312.353,Fortaleza,2304400,CE,26.27337,23.9323,28.50512
2/1/03,312.353,Fortaleza,2304400,CE,25.87936,24.10293,28.00387
2/2/03,312.353,Fortaleza,2304400,CE,26.42175,24.33755,28.357
2/3/03,312.353,Fortaleza,2304400,CE,25.97195,24.91464,27.0962
2/4/03,312.353,Fortaleza,2304400,CE,27.38622,25.22985,29.71142
2/5/03,312.353,Fortaleza,2304400,CE,26.14648,24.86132,27.33672
2/6/03,312.353,Fortaleza,2304400,CE,26.69787,24.92056,29.20187
2/7/03,312.353,Fortaleza,2304400,CE,26.85784,24.59707,28.93527
2/8/03,312.353,Fortaleza,2304400,CE,27.32568,25.5794,29.14144
2/9/03,312.353,Fortaleza,2304400,CE,27.61797,26.26196,29.82516
2/10/03,312.353,Fortaleza,2304400,CE,26.98092,25.2962,28.6319
2/11/03,312.353,Fortaleza,2304400,CE,26.72607,25.0201,28.1745
2/12/03,312.353,Fortaleza,2304400,CE,26.47137,24.4217,27.75027
2/13/03,312.353,Fortaleza,2304400,CE,27.23947,25.25,29.5218
2/14/03,312.353,Fortaleza,2304400,CE,27.6068,26.05932,29.47442
2/15/03,312.353,Fortaleza,2304400,CE,27.44723,25.65408,28.87838
2/16/03,312.353,Fortaleza,2304400,CE,26.97717,25.62917,28.44467
2/17/03,312.353,Fortaleza,2304400,CE,26.67358,24.7843,27.91973
2/18/03,312.353,Fortaleza,2304400,CE,26.49725,24.9419,28.24798
2/19/03,312.353,Fortaleza,2304400,CE,27.31646,25.40524,29.61068
2/20/03,312.353,Fortaleza,2304400,CE,26.46163,25.02722,27.5903
2/21/03,312.353,Fortaleza,2304400,CE,25.74548,23.84936,27.95052
2/22/03,312.353,Fortaleza,2304400,CE,26.66766,24.87792,28.8748
2/23/03,312.353,Fortaleza,2304400,CE,26.57086,25.18246,28.17687
2/24/03,312.353,Fortaleza,2304400,CE,26.08215,24.74282,27.82256
2/25/03,312.353,Fortaleza,2304400,CE,25.73632,24.26055,27.2526
2/26/03,312.353,Fortaleza,2304400,CE,26.15533,24.61248,27.82018
2/27/03,312.353,Fortaleza,2304400,CE,25.85128,24.48095,27.9541
2/28/03,312.353,Fortaleza,2304400,CE,25.3355,24.43356,26.26315
3/1/03,312.353,Fortaleza,2304400,CE,26.53784,24.3885,29.32037
3/2/03,312.353,Fortaleza,2304400,CE,27.13513,24.74993,29.4211
3/3/03,312.353,Fortaleza,2304400,CE,26.4647,25.0841,28.32144
3/4/03,312.353,Fortaleza,2304400,CE,25.9036,24.52596,27.86877
3/5/03,312.353,Fortaleza,2304400,CE,26.10235,24.25225,28.33804
3/6/03,312.353,Fortaleza,2304400,CE,26.91088,24.47622,28.77645
3/7/03,312.353,Fortaleza,2304400,CE,26.4334,24.41696,27.78463
3/8/03,312.353,Fortaleza,2304400,CE,26.15444,24.54257,27.71948
3/9/03,312.353,Fortaleza,2304400,CE,27.0819,25.6529,28.75158
3/10/03,312.353,Fortaleza,2304400,CE,26.58315,24.7843,27.75384
3/11/03,312.353,Fortaleza,2304400,CE,26.1441,24.48095,27.56423
3/12/03,312.353,Fortaleza,2304400,CE,26.31304,24.54138,27.86996
3/13/03,312.353,Fortaleza,2304400,CE,26.67352,24.86605,28.3155
3/14/03,312.353,Fortaleza,2304400,CE,26.47045,25.2038,28.04653
3/15/03,312.353,Fortaleza,2304400,CE,26.1346,24.77838,27.97424
3/16/03,312.353,Fortaleza,2304400,CE,26.51476,24.47738,29.15566
3/17/03,312.353,Fortaleza,2304400,CE,25.63104,24.64565,27.27392
3/18/03,312.353,Fortaleza,2304400,CE,25.8935,24.33282,28.04177
3/19/03,312.353,Fortaleza,2304400,CE,25.82614,24.20248,28.23968
3/20/03,312.353,Fortaleza,2304400,CE,25.22637,24.3186,26.21575
3/21/03,312.353,Fortaleza,2304400,CE,24.6649,23.95718,25.7773
3/22/03,312.353,Fortaleza,2304400,CE,25.40426,23.5057,28.2361
3/23/03,312.353,Fortaleza,2304400,CE,25.90515,23.9145,28.03704
3/24/03,312.353,Fortaleza,2304400,CE,25.51748,24.12902,27.17675
3/25/03,312.353,Fortaleza,2304400,CE,25.76818,24.2238,27.3308
3/26/03,312.353,Fortaleza,2304400,CE,25.61266,24.44067,27.2775
3/27/03,312.353,Fortaleza,2304400,CE,26.55023,24.25698,29.95788
3/28/03,312.353,Fortaleza,2304400,CE,26.78463,25.48342,28.05364
3/29/03,312.353,Fortaleza,2304400,CE,25.98303,25.3128,26.9125
3/30/03,312.353,Fortaleza,2304400,CE,25.69644,24.097,27.69576
3/31/03,312.353,Fortaleza,2304400,CE,26.33834,24.45013,28.6947
4/1/03,312.353,Fortaleza,2304400,CE,25.60455,24.73928,26.55108
4/2/03,312.353,Fortaleza,2304400,CE,25.8164,24.27477,27.44338
4/3/03,312.353,Fortaleza,2304400,CE,27.23968,24.7997,30.5859
4/4/03,312.353,Fortaleza,2304400,CE,26.73937,24.93835,28.05956
4/5/03,312.353,Fortaleza,2304400,CE,26.4538,25.39218,27.77755
4/6/03,312.353,Fortaleza,2304400,CE,26.3186,24.76058,29.0028
4/7/03,312.353,Fortaleza,2304400,CE,26.42053,24.4442,28.639
4/8/03,312.353,Fortaleza,2304400,CE,26.26672,24.1456,28.31906
4/9/03,312.353,Fortaleza,2304400,CE,26.87545,25.24642,29.0099
4/10/03,312.353,Fortaleza,2304400,CE,25.50616,24.63973,26.2181
4/11/03,312.353,Fortaleza,2304400,CE,26.52297,24.30795,29.32037
4/12/03,312.353,Fortaleza,2304400,CE,27.69818,25.801,29.77065
4/13/03,312.353,Fortaleza,2304400,CE,27.54794,25.8093,29.21017
4/14/03,312.353,Fortaleza,2304400,CE,26.86773,24.4537,28.92578
4/15/03,312.353,Fortaleza,2304400,CE,27.50677,25.97164,29.837
4/16/03,312.353,Fortaleza,2304400,CE,27.41406,24.9727,29.7991
4/17/03,312.353,Fortaleza,2304400,CE,27.142,24.89095,29.1059
4/18/03,312.353,Fortaleza,2304400,CE,26.98168,24.68002,29.09286
4/19/03,312.353,Fortaleza,2304400,CE,26.05392,24.9561,27.20046
4/20/03,312.353,Fortaleza,2304400,CE,26.4462,24.79852,28.55844
4/21/03,312.353,Fortaleza,2304400,CE,27.08257,24.8459,28.81793
4/22/03,312.353,Fortaleza,2304400,CE,26.19787,24.57574,28.58096
4/23/03,312.353,Fortaleza,2304400,CE,26.38607,24.94308,27.95767
4/24/03,312.353,Fortaleza,2304400,CE,26.44518,25.73464,27.21823
4/25/03,312.353,Fortaleza,2304400,CE,26.91503,25.0213,28.92104
4/26/03,312.353,Fortaleza,2304400,CE,26.17263,24.68475,28.38305
4/27/03,312.353,Fortaleza,2304400,CE,26.112,24.6338,27.377
4/28/03,312.353,Fortaleza,2304400,CE,25.9882,24.6421,27.60452
4/29/03,312.353,Fortaleza,2304400,CE,25.97247,24.6836,27.30236
4/30/03,312.353,Fortaleza,2304400,CE,26.4796,25.3282,27.90313
5/1/03,312.353,Fortaleza,2304400,CE,25.9341,24.42764,27.89248
5/2/03,312.353,Fortaleza,2304400,CE,26.15777,24.67883,27.68392
5/3/03,312.353,Fortaleza,2304400,CE,26.92355,24.6101,28.9246
5/4/03,312.353,Fortaleza,2304400,CE,27.20812,24.8637,28.9874
5/5/03,312.353,Fortaleza,2304400,CE,25.79037,24.3269,26.82836
5/6/03,312.353,Fortaleza,2304400,CE,26.91985,25.04382,28.95422
5/7/03,312.353,Fortaleza,2304400,CE,27.26687,24.95968,29.95434
5/8/03,312.353,Fortaleza,2304400,CE,27.51132,25.86617,29.80383
5/9/03,312.353,Fortaleza,2304400,CE,26.73187,24.76772,28.49682
5/10/03,312.353,Fortaleza,2304400,CE,27.03588,24.78787,29.26348
5/11/03,312.353,Fortaleza,2304400,CE,27.33203,25.2654,29.70193
5/12/03,312.353,Fortaleza,2304400,CE,27.0255,24.65988,29.47085
5/13/03,312.353,Fortaleza,2304400,CE,27.08337,24.8566,29.555
5/14/03,312.353,Fortaleza,2304400,CE,26.84338,24.95138,29.04666
5/15/03,312.353,Fortaleza,2304400,CE,26.2406,24.7286,27.95052
5/16/03,312.353,Fortaleza,2304400,CE,26.8759,25.32583,28.50512
5/17/03,312.353,Fortaleza,2304400,CE,27.4226,25.5427,29.61306
5/18/03,312.353,Fortaleza,2304400,CE,26.92074,25.0675,28.0323
5/19/03,312.353,Fortaleza,2304400,CE,26.17162,24.54495,28.15673
5/20/03,312.353,Fortaleza,2304400,CE,26.44396,24.71676,28.17568
5/21/03,312.353,Fortaleza,2304400,CE,26.94424,25.2962,28.91036
5/22/03,312.353,Fortaleza,2304400,CE,27.25176,25.53793,29.37725
5/23/03,312.353,Fortaleza,2304400,CE,27.3972,25.8259,29.2386
5/24/03,312.353,Fortaleza,2304400,CE,27.302,26.01785,28.8381
5/25/03,312.353,Fortaleza,2304400,CE,27.48358,26.2098,29.36895
5/26/03,312.353,Fortaleza,2304400,CE,27.3748,25.7382,28.93643
5/27/03,312.353,Fortaleza,2304400,CE,27.41317,25.9515,29.36657
5/28/03,312.353,Fortaleza,2304400,CE,27.03845,25.32583,29.0893
5/29/03,312.353,Fortaleza,2304400,CE,26.93203,25.51187,28.60583
5/30/03,312.353,Fortaleza,2304400,CE,26.59142,24.9407,28.16146
5/31/03,312.353,Fortaleza,2304400,CE,26.47143,25.1232,28.04534
6/1/03,312.353,Fortaleza,2304400,CE,25.738,24.3186,27.0002
6/2/03,312.353,Fortaleza,2304400,CE,26.869,25.359,28.89022
6/3/03,312.353,Fortaleza,2304400,CE,27.29504,25.76547,29.82397
6/4/03,312.353,Fortaleza,2304400,CE,26.19384,24.5461,28.37475
6/5/03,312.353,Fortaleza,2304400,CE,25.48577,24.4537,26.76794
