AREA_KM2,time,SIGLA,NM_MUN,CD_MUN,t2m,t2m_min,t2m_max
1200.329,1/1/04,RJ,Rio de Janeiro,3304557,24.72973,23.18954,26.16708
1200.329,1/2/04,RJ,Rio de Janeiro,3304557,22.3684,21.57345,22.85977
1200.329,1/3/04,RJ,Rio de Janeiro,3304557,22.325,20.95495,23.4513
1200.329,1/4/04,RJ,Rio de Janeiro,3304557,22.6092,21.46078,23.75408
1200.329,1/5/04,RJ,Rio de Janeiro,3304557,23.42928,21.54412,25.6988
1200.329,1/6/04,RJ,Rio de Janeiro,3304557,24.61385,21.62393,28.20803
1200.329,1/7/04,RJ,Rio de Janeiro,3304557,25.03423,21.9596,28.10827
1200.329,1/8/04,RJ,Rio de Janeiro,3304557,25.442,23.11328,28.76318
1200.329,1/9/04,RJ,Rio de Janeiro,3304557,24.83068,22.8304,26.3654
1200.329,1/10/04,RJ,Rio de Janeiro,3304557,24.43044,22.2084,27.55316
1200.329,1/11/04,RJ,Rio de Janeiro,3304557,24.9304,21.66735,28.19863
1200.329,1/12/04,RJ,Rio de Janeiro,3304557,25.6488,23.62615,28.26553
1200.329,1/13/04,RJ,Rio de Janeiro,3304557,25.02496,23.51583,26.68347
1200.329,1/14/04,RJ,Rio de Janeiro,3304557,25.4085,23.96884,27.4346
1200.329,1/15/04,RJ,Rio de Janeiro,3304557,25.5966,24.03457,27.8219
1200.329,1/16/04,RJ,Rio de Janeiro,3304557,24.776,23.76815,26.24688
1200.329,1/17/04,RJ,Rio de Janeiro,3304557,24.10934,22.54522,26.00158
1200.329,1/18/04,RJ,Rio de Janeiro,3304557,23.6834,22.00887,25.10845
1200.329,1/19/04,RJ,Rio de Janeiro,3304557,24.02316,20.98428,26.8208
1200.329,1/20/04,RJ,Rio de Janeiro,3304557,24.36376,21.17208,28.05782
1200.329,1/21/04,RJ,Rio de Janeiro,3304557,24.17614,20.56646,27.74328
1200.329,1/22/04,RJ,Rio de Janeiro,3304557,24.57256,22.94427,26.10723
1200.329,1/23/04,RJ,Rio de Janeiro,3304557,26.00494,23.24355,29.5718
1200.329,1/24/04,RJ,Rio de Janeiro,3304557,26.76428,23.36443,29.94268
1200.329,1/25/04,RJ,Rio de Janeiro,3304557,27.55816,23.9489,31.14565
1200.329,1/26/04,RJ,Rio de Janeiro,3304557,26.94415,23.96884,29.7138
1200.329,1/27/04,RJ,Rio de Janeiro,3304557,26.82592,23.10623,31.1351
1200.329,1/28/04,RJ,Rio de Janeiro,3304557,26.90627,23.56747,30.43795
1200.329,1/29/04,RJ,Rio de Janeiro,3304557,27.62136,23.39846,31.83224
1200.329,1/30/04,RJ,Rio de Janeiro,3304557,27.41094,23.66253,31.8287
1200.329,1/31/04,RJ,Rio de Janeiro,3304557,27.61025,24.051,31.49307
1200.329,2/1/04,RJ,Rio de Janeiro,3304557,27.765,24.551,32.04583
1200.329,2/2/04,RJ,Rio de Janeiro,3304557,27.68582,24.8033,32.13738
1200.329,2/3/04,RJ,Rio de Janeiro,3304557,27.23553,24.56506,31.6104
1200.329,2/4/04,RJ,Rio de Janeiro,3304557,27.58962,24.04513,31.6468
1200.329,2/5/04,RJ,Rio de Janeiro,3304557,27.70123,24.89367,31.77004
1200.329,2/6/04,RJ,Rio de Janeiro,3304557,25.33813,23.95242,26.2821
1200.329,2/7/04,RJ,Rio de Janeiro,3304557,23.75033,22.73184,24.67187
1200.329,2/8/04,RJ,Rio de Janeiro,3304557,22.93054,21.53707,24.416
1200.329,2/9/04,RJ,Rio de Janeiro,3304557,23.5467,21.64034,26.09197
1200.329,2/10/04,RJ,Rio de Janeiro,3304557,24.02194,22.3457,25.77743
1200.329,2/11/04,RJ,Rio de Janeiro,3304557,23.68563,22.08163,25.89596
1200.329,2/12/04,RJ,Rio de Janeiro,3304557,24.51714,22.77642,27.08837
1200.329,2/13/04,RJ,Rio de Janeiro,3304557,24.6955,22.6039,27.782
1200.329,2/14/04,RJ,Rio de Janeiro,3304557,25.68313,22.21426,30.48608
1200.329,2/15/04,RJ,Rio de Janeiro,3304557,25.54412,23.93365,28.33245
1200.329,2/16/04,RJ,Rio de Janeiro,3304557,24.61016,23.03698,26.87243
1200.329,2/17/04,RJ,Rio de Janeiro,3304557,24.98858,23.18368,27.50033
1200.329,2/18/04,RJ,Rio de Janeiro,3304557,25.962,23.18252,29.83587
