CD_MUN,time,AREA_KM2,NM_MUN,SIGLA,t2m,t2m_min,t2m_max
3304557,1/1/02,1200.329,Rio de Janeiro,RJ,26.037,22.8724,29.41256
3304557,1/2/02,1200.329,Rio de Janeiro,RJ,26.8052,24.27307,31.3623
3304557,1/3/02,1200.329,Rio de Janeiro,RJ,25.95623,23.89956,27.9322
3304557,1/4/02,1200.329,Rio de Janeiro,RJ,25.4345,23.27206,27.91976
3304557,1/5/02,1200.329,Rio de Janeiro,RJ,25.6367,23.5821,28.0754
3304557,1/6/02,1200.329,Rio de Janeiro,RJ,26.6128,23.07534,30.92654
3304557,1/7/02,1200.329,Rio de Janeiro,RJ,27.85455,24.4175,30.91284
3304557,1/8/02,1200.329,Rio de Janeiro,RJ,28.14413,25.543,30.67504
3304557,1/9/02,1200.329,Rio de Janeiro,RJ,26.82324,24.61047,29.98654
3304557,1/10/02,1200.329,Rio de Janeiro,RJ,25.86205,23.2596,28.26962
3304557,1/11/02,1200.329,Rio de Janeiro,RJ,25.74847,22.8027,28.88345
3304557,1/12/02,1200.329,Rio de Janeiro,RJ,25.47048,23.72775,27.58737
3304557,1/13/02,1200.329,Rio de Janeiro,RJ,24.0835,23.2733,24.72378
3304557,1/14/02,1200.329,Rio de Janeiro,RJ,24.69872,22.84503,27.43173
3304557,1/15/02,1200.329,Rio de Janeiro,RJ,24.45764,22.97573,26.3274
3304557,1/16/02,1200.329,Rio de Janeiro,RJ,23.1776,22.0183,24.13113
3304557,1/17/02,1200.329,Rio de Janeiro,RJ,22.9921,21.1032,24.97277
3304557,1/18/02,1200.329,Rio de Janeiro,RJ,22.43475,21.63983,23.04922
3304557,1/19/02,1200.329,Rio de Janeiro,RJ,21.2351,20.528,21.81912
3304557,1/20/02,1200.329,Rio de Janeiro,RJ,23.66357,21.61245,27.15035
3304557,1/21/02,1200.329,Rio de Janeiro,RJ,25.79473,22.7504,29.9056
3304557,1/22/02,1200.329,Rio de Janeiro,RJ,26.9471,23.55468,32.1205
3304557,1/23/02,1200.329,Rio de Janeiro,RJ,26.32717,24.5582,29.31796
3304557,1/24/02,1200.329,Rio de Janeiro,RJ,25.9574,24.16226,28.78756
3304557,1/25/02,1200.329,Rio de Janeiro,RJ,26.69595,23.68292,30.83688
3304557,1/26/02,1200.329,Rio de Janeiro,RJ,28.0704,24.56066,33.17257
3304557,1/27/02,1200.329,Rio de Janeiro,RJ,28.63073,25.77334,32.1367
3304557,1/28/02,1200.329,Rio de Janeiro,RJ,29.12423,26.4382,33.13024
3304557,1/29/02,1200.329,Rio de Janeiro,RJ,27.56945,25.86672,29.2644
3304557,1/30/02,1200.329,Rio de Janeiro,RJ,26.72726,24.8844,29.51342
3304557,1/31/02,1200.329,Rio de Janeiro,RJ,28.15136,24.89062,32.4741
3304557,2/1/02,1200.329,Rio de Janeiro,RJ,28.48742,26.0796,31.2552
3304557,2/2/02,1200.329,Rio de Janeiro,RJ,25.6496,24.33907,27.02834
