CD_MUN,NM_MUN,SIGLA,AREA_KM2,time,t2m,t2m_min,t2m_max
3304557,Rio de Janeiro,RJ,1200.329,1/1/00,25.24606,24.14828,26.30947
3304557,Rio de Janeiro,RJ,1200.329,1/2/00,24.59356,22.6381,26.10974
3304557,Rio de Janeiro,RJ,1200.329,1/3/00,24.0466,22.27706,26.79083
3304557,Rio de Janeiro,RJ,1200.329,1/4/00,25.84002,23.4431,29.56213
3304557,Rio de Janeiro,RJ,1200.329,1/5/00,26.86523,23.82818,30.55367
3304557,Rio de Janeiro,RJ,1200.329,1/6/00,26.67663,23.42748,30.83407
3304557,Rio de Janeiro,RJ,1200.329,1/7/00,26.69198,23.10858,30.60302
3304557,Rio de Janeiro,RJ,1200.329,1/8/00,26.36843,23.7247,29.4093
3304557,Rio de Janeiro,RJ,1200.329,1/9/00,25.7867,22.09658,29.28054
3304557,Rio de Janeiro,RJ,1200.329,1/10/00,26.7961,22.77285,30.2733
3304557,Rio de Janeiro,RJ,1200.329,1/11/00,26.97024,22.54662,31.48867
3304557,Rio de Janeiro,RJ,1200.329,1/12/00,27.3889,23.60436,32.5067
3304557,Rio de Janeiro,RJ,1200.329,1/13/00,27.30587,23.92083,32.01696
3304557,Rio de Janeiro,RJ,1200.329,1/14/00,27.3679,24.63925,31.04464
3304557,Rio de Janeiro,RJ,1200.329,1/15/00,27.6863,25.16873,32.22634
3304557,Rio de Janeiro,RJ,1200.329,1/16/00,26.46154,24.8378,29.56213
3304557,Rio de Janeiro,RJ,1200.329,1/17/00,27.8067,24.41903,31.79675
3304557,Rio de Janeiro,RJ,1200.329,1/18/00,27.79464,25.425,30.03384
3304557,Rio de Janeiro,RJ,1200.329,1/19/00,26.3156,24.50326,28.59103
3304557,Rio de Janeiro,RJ,1200.329,1/20/00,24.84408,22.8198,27.44546
3304557,Rio de Janeiro,RJ,1200.329,1/21/00,24.58184,22.05685,27.12295
3304557,Rio de Janeiro,RJ,1200.329,1/22/00,25.28924,21.83184,29.25286
3304557,Rio de Janeiro,RJ,1200.329,1/23/00,26.26727,22.98824,29.72457
3304557,Rio de Janeiro,RJ,1200.329,1/24/00,25.94818,23.56826,28.48873
3304557,Rio de Janeiro,RJ,1200.329,1/25/00,26.4276,23.5069,29.67162
3304557,Rio de Janeiro,RJ,1200.329,1/26/00,25.9677,23.9052,28.41534
3304557,Rio de Janeiro,RJ,1200.329,1/27/00,23.21328,22.44314,24.3721
3304557,Rio de Janeiro,RJ,1200.329,1/28/00,22.69708,21.26507,24.2566
3304557,Rio de Janeiro,RJ,1200.329,1/29/00,22.98464,20.3084,25.50686
3304557,Rio de Janeiro,RJ,1200.329,1/30/00,23.6402,20.90646,27.11212
3304557,Rio de Janeiro,RJ,1200.329,1/31/00,25.10702,22.65252,27.70416
3304557,Rio de Janeiro,RJ,1200.329,2/1/00,26.22173,23.73913,29.52484
3304557,Rio de Janeiro,RJ,1200.329,2/2/00,24.93047,23.7247,26.50683
3304557,Rio de Janeiro,RJ,1200.329,2/3/00,24.666,22.5286,27.52487
3304557,Rio de Janeiro,RJ,1200.329,2/4/00,26.53246,23.04962,32.04943
3304557,Rio de Janeiro,RJ,1200.329,2/5/00,26.28027,24.25295,28.06878
3304557,Rio de Janeiro,RJ,1200.329,2/6/00,24.40856,23.63687,25.3468
3304557,Rio de Janeiro,RJ,1200.329,2/7/00,24.1742,22.36132,25.5574
3304557,Rio de Janeiro,RJ,1200.329,2/8/00,23.8659,22.395,24.9401
3304557,Rio de Janeiro,RJ,1200.329,2/9/00,25.15765,22.62365,27.81606
3304557,Rio de Janeiro,RJ,1200.329,2/10/00,26.36706,24.6633,28.6223
3304557,Rio de Janeiro,RJ,1200.329,2/11/00,27.00237,24.35525,30.5152
3304557,Rio de Janeiro,RJ,1200.329,2/12/00,27.18517,24.8739,29.88702
3304557,Rio de Janeiro,RJ,1200.329,2/13/00,27.21905,23.92925,30.5236
3304557,Rio de Janeiro,RJ,1200.329,2/14/00,27.24557,24.26742,31.1349
3304557,Rio de Janeiro,RJ,1200.329,2/15/00,27.64892,23.87512,31.48388
3304557,Rio de Janeiro,RJ,1200.329,2/16/00,25.63207,23.6874,28.1109
3304557,Rio de Janeiro,RJ,1200.329,2/17/00,23.0714,21.5695,24.18078
3304557,Rio de Janeiro,RJ,1200.329,2/18/00,22.6403,21.04003,24.49124
3304557,Rio de Janeiro,RJ,1200.329,2/19/00,23.10668,21.0617,24.64526
3304557,Rio de Janeiro,RJ,1200.329,2/20/00,23.5073,21.76565,25.30108
3304557,Rio de Janeiro,RJ,1200.329,2/21/00,24.04824,20.74282,27.24328
3304557,Rio de Janeiro,RJ,1200.329,2/22/00,24.68,20.79937,28.8004
3304557,Rio de Janeiro,RJ,1200.329,2/23/00,25.8155,21.6032,29.875
3304557,Rio de Janeiro,RJ,1200.329,2/24/00,26.07952,22.95214,29.99172
3304557,Rio de Janeiro,RJ,1200.329,2/25/00,25.83514,23.7993,28.20837
3304557,Rio de Janeiro,RJ,1200.329,2/26/00,25.68447,23.25298,28.24206
3304557,Rio de Janeiro,RJ,1200.329,2/27/00,26.36242,22.66094,29.92553
3304557,Rio de Janeiro,RJ,1200.329,2/28/00,27.1407,23.4672,31.57772
3304557,Rio de Janeiro,RJ,1200.329,2/29/00,27.2947,23.41665,31.2059
3304557,Rio de Janeiro,RJ,1200.329,3/1/00,26.71813,23.2193,30.8449
3304557,Rio de Janeiro,RJ,1200.329,3/2/00,25.7698,21.94494,29.11688
3304557,Rio de Janeiro,RJ,1200.329,3/3/00,25.65106,21.7813,29.53927
3304557,Rio de Janeiro,RJ,1200.329,3/4/00,26.3943,22.74877,30.60903
3304557,Rio de Janeiro,RJ,1200.329,3/5/00,26.68282,22.51534,30.79315
3304557,Rio de Janeiro,RJ,1200.329,3/6/00,27.22112,23.1134,31.89422
3304557,Rio de Janeiro,RJ,1200.329,3/7/00,25.99682,23.6176,27.84014
3304557,Rio de Janeiro,RJ,1200.329,3/8/00,23.55837,22.8956,24.19158
3304557,Rio de Janeiro,RJ,1200.329,3/9/00,23.60214,22.01235,25.8546
3304557,Rio de Janeiro,RJ,1200.329,3/10/00,23.27398,21.14712,24.3721
3304557,Rio de Janeiro,RJ,1200.329,3/11/00,23.20245,21.7476,25.39614
3304557,Rio de Janeiro,RJ,1200.329,3/12/00,22.7982,21.86553,24.2722
3304557,Rio de Janeiro,RJ,1200.329,3/13/00,22.87176,21.05688,24.9136
3304557,Rio de Janeiro,RJ,1200.329,3/14/00,22.9577,19.2278,26.30587
3304557,Rio de Janeiro,RJ,1200.329,3/15/00,24.22222,21.08215,27.3516
3304557,Rio de Janeiro,RJ,1200.329,3/16/00,25.4586,22.74035,28.06878
3304557,Rio de Janeiro,RJ,1200.329,3/17/00,25.68905,23.23254,28.06396
3304557,Rio de Janeiro,RJ,1200.329,3/18/00,26.16174,23.17718,29.82086
3304557,Rio de Janeiro,RJ,1200.329,3/19/00,24.2299,23.2289,25.11096
3304557,Rio de Janeiro,RJ,1200.329,3/20/00,24.34588,23.49365,25.774
3304557,Rio de Janeiro,RJ,1200.329,3/21/00,24.52334,22.4359,26.13018
3304557,Rio de Janeiro,RJ,1200.329,3/22/00,24.77197,21.6754,26.89312
3304557,Rio de Janeiro,RJ,1200.329,3/23/00,25.0982,22.83422,27.55374
3304557,Rio de Janeiro,RJ,1200.329,3/24/00,25.68347,22.36974,29.95803
3304557,Rio de Janeiro,RJ,1200.329,3/25/00,25.18948,22.7596,27.2144
3304557,Rio de Janeiro,RJ,1200.329,3/26/00,24.60986,23.0773,26.77517
3304557,Rio de Janeiro,RJ,1200.329,3/27/00,25.7969,22.3938,29.84973
3304557,Rio de Janeiro,RJ,1200.329,3/28/00,26.8036,23.8005,29.9893
3304557,Rio de Janeiro,RJ,1200.329,3/29/00,24.74957,23.3637,26.15185
3304557,Rio de Janeiro,RJ,1200.329,3/30/00,24.69253,22.58874,28.06396
3304557,Rio de Janeiro,RJ,1200.329,3/31/00,25.17333,22.29873,28.45745
3304557,Rio de Janeiro,RJ,1200.329,4/1/00,25.29742,22.5755,28.55374
3304557,Rio de Janeiro,RJ,1200.329,4/2/00,23.47546,22.16757,24.61038
3304557,Rio de Janeiro,RJ,1200.329,4/3/00,23.10943,21.78973,24.41302
3304557,Rio de Janeiro,RJ,1200.329,4/4/00,22.97338,20.028,25.50326
3304557,Rio de Janeiro,RJ,1200.329,4/5/00,23.16604,20.01357,26.28182
3304557,Rio de Janeiro,RJ,1200.329,4/6/00,23.50604,19.6983,26.08807
3304557,Rio de Janeiro,RJ,1200.329,4/7/00,24.22793,21.33605,27.48876
3304557,Rio de Janeiro,RJ,1200.329,4/8/00,24.2431,21.08578,27.38287
3304557,Rio de Janeiro,RJ,1200.329,4/9/00,24.87994,21.6694,28.55493
3304557,Rio de Janeiro,RJ,1200.329,4/10/00,24.9687,21.47204,28.45263
3304557,Rio de Janeiro,RJ,1200.329,4/11/00,25.24,21.18804,29.91952
3304557,Rio de Janeiro,RJ,1200.329,4/12/00,26.14727,22.31558,29.88824
3304557,Rio de Janeiro,RJ,1200.329,4/13/00,26.46136,22.60076,31.0639
3304557,Rio de Janeiro,RJ,1200.329,4/14/00,26.00002,23.21328,29.17947
3304557,Rio de Janeiro,RJ,1200.329,4/15/00,24.523,23.02557,26.14102
3304557,Rio de Janeiro,RJ,1200.329,4/16/00,23.71972,21.70428,25.90518
3304557,Rio de Janeiro,RJ,1200.329,4/17/00,23.29916,20.6297,25.43224
3304557,Rio de Janeiro,RJ,1200.329,4/18/00,23.8023,19.63693,28.67407
3304557,Rio de Janeiro,RJ,1200.329,4/19/00,25.74914,22.70907,30.06753
3304557,Rio de Janeiro,RJ,1200.329,4/20/00,25.0008,23.20968,26.30105
3304557,Rio de Janeiro,RJ,1200.329,4/21/00,23.79818,21.8174,26.63198
3304557,Rio de Janeiro,RJ,1200.329,4/22/00,22.14672,20.1303,24.1302
3304557,Rio de Janeiro,RJ,1200.329,4/23/00,21.76177,19.7669,24.20846
3304557,Rio de Janeiro,RJ,1200.329,4/24/00,21.91885,18.85595,26.3492
3304557,Rio de Janeiro,RJ,1200.329,4/25/00,21.4096,17.75973,25.39736
3304557,Rio de Janeiro,RJ,1200.329,4/26/00,21.63815,17.77657,25.9545
3304557,Rio de Janeiro,RJ,1200.329,4/27/00,22.27465,17.76333,26.6368
3304557,Rio de Janeiro,RJ,1200.329,4/28/00,22.5999,18.7693,26.68734
3304557,Rio de Janeiro,RJ,1200.329,4/29/00,23.2357,19.4047,27.83773
3304557,Rio de Janeiro,RJ,1200.329,4/30/00,24.2559,20.28433,27.99056
3304557,Rio de Janeiro,RJ,1200.329,5/1/00,24.7893,21.1002,28.74987
3304557,Rio de Janeiro,RJ,1200.329,5/2/00,24.8546,21.29995,28.41653
3304557,Rio de Janeiro,RJ,1200.329,5/3/00,24.95992,21.0653,28.92916
3304557,Rio de Janeiro,RJ,1200.329,5/4/00,24.96606,21.389,28.804
3304557,Rio de Janeiro,RJ,1200.329,5/5/00,24.4245,20.1977,29.16744
3304557,Rio de Janeiro,RJ,1200.329,5/6/00,25.67385,21.17602,31.76547
3304557,Rio de Janeiro,RJ,1200.329,5/7/00,23.11547,20.8932,25.5273
3304557,Rio de Janeiro,RJ,1200.329,5/8/00,22.3788,21.27108,23.40582
3304557,Rio de Janeiro,RJ,1200.329,5/9/00,21.30578,20.4167,22.37094
3304557,Rio de Janeiro,RJ,1200.329,5/10/00,21.0194,18.7898,23.4708
3304557,Rio de Janeiro,RJ,1200.329,5/11/00,20.28634,18.9715,21.69103
3304557,Rio de Janeiro,RJ,1200.329,5/12/00,20.17797,17.507,22.66577
3304557,Rio de Janeiro,RJ,1200.329,5/13/00,20.69506,17.04373,24.0785
3304557,Rio de Janeiro,RJ,1200.329,5/14/00,20.42764,17.11593,24.2229
3304557,Rio de Janeiro,RJ,1200.329,5/15/00,21.01507,17.55395,25.058
3304557,Rio de Janeiro,RJ,1200.329,5/16/00,21.9292,18.94622,26.413
3304557,Rio de Janeiro,RJ,1200.329,5/17/00,23.52914,18.85357,30.3371
3304557,Rio de Janeiro,RJ,1200.329,5/18/00,21.75363,20.25424,23.33242
3304557,Rio de Janeiro,RJ,1200.329,5/19/00,19.41833,17.91735,20.82583
3304557,Rio de Janeiro,RJ,1200.329,5/20/00,19.21258,17.09185,21.36614
3304557,Rio de Janeiro,RJ,1200.329,5/21/00,19.94872,17.83553,21.7091
3304557,Rio de Janeiro,RJ,1200.329,5/22/00,20.2276,16.3891,22.81014
3304557,Rio de Janeiro,RJ,1200.329,5/23/00,19.85006,15.9944,24.13625
3304557,Rio de Janeiro,RJ,1200.329,5/24/00,19.93032,15.94628,23.31677
3304557,Rio de Janeiro,RJ,1200.329,5/25/00,19.93493,15.44088,25.36605
3304557,Rio de Janeiro,RJ,1200.329,5/26/00,21.89794,16.8548,28.13134
3304557,Rio de Janeiro,RJ,1200.329,5/27/00,21.91348,19.1857,24.904
3304557,Rio de Janeiro,RJ,1200.329,5/28/00,20.3001,19.02203,21.83062
3304557,Rio de Janeiro,RJ,1200.329,5/29/00,19.90527,18.2964,22.23617
3304557,Rio de Janeiro,RJ,1200.329,5/30/00,19.84698,14.60574,25.90396
3304557,Rio de Janeiro,RJ,1200.329,5/31/00,20.70916,18.28558,24.07968
3304557,Rio de Janeiro,RJ,1200.329,6/1/00,19.73406,18.56115,20.61526
3304557,Rio de Janeiro,RJ,1200.329,6/2/00,19.83386,17.91854,22.34448
3304557,Rio de Janeiro,RJ,1200.329,6/3/00,20.11523,17.7164,22.827
3304557,Rio de Janeiro,RJ,1200.329,6/4/00,20.60986,19.10867,22.59115
3304557,Rio de Janeiro,RJ,1200.329,6/5/00,20.29223,17.35058,24.09414
3304557,Rio de Janeiro,RJ,1200.329,6/6/00,19.82717,15.07626,24.8366
3304557,Rio de Janeiro,RJ,1200.329,6/7/00,20.46502,15.94506,25.7728
3304557,Rio de Janeiro,RJ,1200.329,6/8/00,21.2968,16.78982,27.07
3304557,Rio de Janeiro,RJ,1200.329,6/9/00,21.62185,16.94985,27.07
3304557,Rio de Janeiro,RJ,1200.329,6/10/00,21.30328,19.02926,23.97018
3304557,Rio de Janeiro,RJ,1200.329,6/11/00,21.2536,17.53588,26.01708
3304557,Rio de Janeiro,RJ,1200.329,6/12/00,21.2685,17.15923,26.4214
3304557,Rio de Janeiro,RJ,1200.329,6/13/00,20.67834,17.4264,24.39016
3304557,Rio de Janeiro,RJ,1200.329,6/14/00,20.92718,18.0028,25.13262
3304557,Rio de Janeiro,RJ,1200.329,6/15/00,21.35494,18.09545,25.98577
3304557,Rio de Janeiro,RJ,1200.329,6/16/00,21.01235,17.33615,25.7355
3304557,Rio de Janeiro,RJ,1200.329,6/17/00,20.8666,17.26995,25.90396
3304557,Rio de Janeiro,RJ,1200.329,6/18/00,21.20257,17.45526,25.80047
3304557,Rio de Janeiro,RJ,1200.329,6/19/00,21.99032,18.26992,26.94607
3304557,Rio de Janeiro,RJ,1200.329,6/20/00,21.99676,18.77896,26.5682
3304557,Rio de Janeiro,RJ,1200.329,6/21/00,20.43997,17.8307,22.24578
3304557,Rio de Janeiro,RJ,1200.329,6/22/00,18.51342,16.3097,21.95458
3304557,Rio de Janeiro,RJ,1200.329,6/23/00,18.59615,13.6262,24.11337
