NM_MUN,time,AREA_KM2,CD_MUN,SIGLA,t2m,t2m_min,t2m_max
Goiânia,9/24/12,729.296,5208707,GO,23.50964,19.9774,28.95226
Goiânia,9/25/12,729.296,5208707,GO,24.3062,19.5023,29.9222
Goiânia,9/26/12,729.296,5208707,GO,20.79275,17.8142,26.25228
Goiânia,9/27/12,729.296,5208707,GO,22.45245,16.39758,29.33975
Goiânia,9/28/12,729.296,5208707,GO,23.8526,18.0203,29.74203
Goiânia,9/29/12,729.296,5208707,GO,24.98965,20.10452,30.1147
Goiânia,9/30/12,729.296,5208707,GO,25.6212,19.9663,31.64114
Goiânia,10/1/12,729.296,5208707,GO,26.31164,19.17532,33.43414
Goiânia,10/2/12,729.296,5208707,GO,27.25573,20.16992,34.3362
Goiânia,10/3/12,729.296,5208707,GO,27.80078,19.97125,34.75823
Goiânia,10/4/12,729.296,5208707,GO,27.71844,20.11932,34.85818
Goiânia,10/5/12,729.296,5208707,GO,28.2564,22.17886,33.89196
Goiânia,10/6/12,729.296,5208707,GO,27.78338,22.35162,33.4255
Goiânia,10/7/12,729.296,5208707,GO,27.10693,20.6783,33.2404
Goiânia,10/8/12,729.296,5208707,GO,27.2824,20.86587,33.03433
Goiânia,10/9/12,729.296,5208707,GO,26.6501,22.29608,31.96816
Goiânia,10/10/12,729.296,5208707,GO,24.76983,19.80712,30.47872
Goiânia,10/11/12,729.296,5208707,GO,24.80804,19.71456,30.23562
Goiânia,10/12/12,729.296,5208707,GO,25.44842,21.2546,29.57174
Goiânia,10/13/12,729.296,5208707,GO,24.43255,19.7133,30.47872
Goiânia,10/14/12,729.296,5208707,GO,25.84347,19.95025,31.64608
Goiânia,10/15/12,729.296,5208707,GO,25.52642,21.11886,30.56265
Goiânia,10/16/12,729.296,5208707,GO,23.99584,20.3587,28.60552
Goiânia,10/17/12,729.296,5208707,GO,23.00598,18.69528,30.4121
Goiânia,10/18/12,729.296,5208707,GO,24.1657,18.34854,30.81066
Goiânia,10/19/12,729.296,5208707,GO,25.7601,19.21603,31.94473
Goiânia,10/20/12,729.296,5208707,GO,25.35394,20.06872,31.79788
Goiânia,10/21/12,729.296,5208707,GO,24.39153,20.45373,29.04604
Goiânia,10/22/12,729.296,5208707,GO,25.82934,20.6561,31.58685
Goiânia,10/23/12,729.296,5208707,GO,26.6309,21.1312,33.36382
Goiânia,10/24/12,729.296,5208707,GO,24.50463,20.24517,31.40054
Goiânia,10/25/12,729.296,5208707,GO,26.2283,21.71734,33.32556
Goiânia,10/26/12,729.296,5208707,GO,26.93548,21.59765,33.5008
Goiânia,10/27/12,729.296,5208707,GO,27.997,21.56307,34.58178
Goiânia,10/28/12,729.296,5208707,GO,28.62536,21.25335,35.56896
Goiânia,10/29/12,729.296,5208707,GO,29.377,21.73586,36.51544
Goiânia,10/30/12,729.296,5208707,GO,28.82403,22.12084,35.49615
Goiânia,10/31/12,729.296,5208707,GO,28.17428,22.1776,34.56695
Goiânia,11/1/12,729.296,5208707,GO,24.94726,20.77334,29.04113
Goiânia,11/2/12,729.296,5208707,GO,24.91906,20.64623,30.50094
Goiânia,11/3/12,729.296,5208707,GO,22.90453,19.29623,28.6302
Goiânia,11/4/12,729.296,5208707,GO,22.55447,19.57882,27.64175
Goiânia,11/5/12,729.296,5208707,GO,23.35772,19.3789,28.7536
Goiânia,11/6/12,729.296,5208707,GO,22.36553,19.65655,26.794
Goiânia,11/7/12,729.296,5208707,GO,23.02886,19.35177,28.88564
Goiânia,11/8/12,729.296,5208707,GO,21.22622,19.4554,24.06194
Goiânia,11/9/12,729.296,5208707,GO,21.3606,19.55538,24.92697
Goiânia,11/10/12,729.296,5208707,GO,21.2379,18.73846,25.32556
Goiânia,11/11/12,729.296,5208707,GO,21.91265,18.81622,26.19183
Goiânia,11/12/12,729.296,5208707,GO,22.65228,19.16912,27.28143
Goiânia,11/13/12,729.296,5208707,GO,23.32247,19.4653,27.4875
Goiânia,11/14/12,729.296,5208707,GO,22.31814,19.35916,25.2848
Goiânia,11/15/12,729.296,5208707,GO,22.5938,18.88284,28.26248
Goiânia,11/16/12,729.296,5208707,GO,23.3983,19.60473,27.76885
Goiânia,11/17/12,729.296,5208707,GO,23.73498,19.11236,29.81112
Goiânia,11/18/12,729.296,5208707,GO,24.3681,18.17578,30.6885
Goiânia,11/19/12,729.296,5208707,GO,23.74005,19.83178,28.92758
Goiânia,11/20/12,729.296,5208707,GO,23.26565,18.69158,29.09295
Goiânia,11/21/12,729.296,5208707,GO,23.58456,19.80218,29.02383
Goiânia,11/22/12,729.296,5208707,GO,23.4082,20.07858,26.4781
Goiânia,11/23/12,729.296,5208707,GO,23.2981,19.10497,28.56234
Goiânia,11/24/12,729.296,5208707,GO,23.66747,19.92434,27.62078
Goiânia,11/25/12,729.296,5208707,GO,23.503,20.3081,29.2805
Goiânia,11/26/12,729.296,5208707,GO,22.98248,20.5833,26.70147
Goiânia,11/27/12,729.296,5208707,GO,22.89846,20.47595,26.48303
Goiânia,11/28/12,729.296,5208707,GO,23.48745,20.61044,27.1778
Goiânia,11/29/12,729.296,5208707,GO,24.94204,20.17608,30.54043
Goiânia,11/30/12,729.296,5208707,GO,25.64788,21.4582,31.16235
Goiânia,12/1/12,729.296,5208707,GO,24.17968,21.39526,26.69406
Goiânia,12/2/12,729.296,5208707,GO,21.62597,20.12054,23.07473
Goiânia,12/3/12,729.296,5208707,GO,22.43887,19.67507,26.46575
Goiânia,12/4/12,729.296,5208707,GO,21.8573,19.469,24.71966
Goiânia,12/5/12,729.296,5208707,GO,23.09667,18.96182,28.10204
Goiânia,12/6/12,729.296,5208707,GO,23.90145,18.62493,29.40884
Goiânia,12/7/12,729.296,5208707,GO,24.8565,18.90383,30.53796
Goiânia,12/8/12,729.296,5208707,GO,26.08422,18.97662,32.01013
Goiânia,12/9/12,729.296,5208707,GO,25.25475,22.53918,28.7943
Goiânia,12/10/12,729.296,5208707,GO,23.70733,21.23733,27.11978
Goiânia,12/11/12,729.296,5208707,GO,23.6214,20.15756,30.22698
Goiânia,12/12/12,729.296,5208707,GO,23.3442,20.1724,26.48303
Goiânia,12/13/12,729.296,5208707,GO,24.20443,20.55984,29.30767
Goiânia,12/14/12,729.296,5208707,GO,23.7866,20.67336,26.5756
Goiânia,12/15/12,729.296,5208707,GO,24.0767,20.42657,30.21218
Goiânia,12/16/12,729.296,5208707,GO,24.12316,20.1773,29.5421
Goiânia,12/17/12,729.296,5208707,GO,24.78552,19.72814,30.24798
Goiânia,12/18/12,729.296,5208707,GO,25.27303,20.67214,31.22036
