NM_MUN,time,AREA_KM2,CD_MUN,SIGLA,t2m,t2m_min,t2m_max
Goiânia,7/1/12,729.296,5208707,GO,23.0003,17.34774,28.66967
Goiânia,7/2/12,729.296,5208707,GO,22.2924,16.4605,27.70593
Goiânia,7/3/12,729.296,5208707,GO,20.89703,14.53423,26.85818
Goiânia,7/4/12,729.296,5208707,GO,21.586,16.23345,27.63436
Goiânia,7/5/12,729.296,5208707,GO,21.6863,16.5765,28.27358
Goiânia,7/6/12,729.296,5208707,GO,21.97546,16.14584,28.38833
Goiânia,7/7/12,729.296,5208707,GO,21.33245,16.07427,28.0971
Goiânia,7/8/12,729.296,5208707,GO,20.3557,15.50662,26.08447
Goiânia,7/9/12,729.296,5208707,GO,21.1248,15.3388,27.60598
Goiânia,7/10/12,729.296,5208707,GO,21.77886,16.83935,27.8972
Goiânia,7/11/12,729.296,5208707,GO,22.13256,16.76406,27.87005
Goiânia,7/12/12,729.296,5208707,GO,21.56393,15.97186,27.68865
Goiânia,7/13/12,729.296,5208707,GO,20.49877,15.35977,25.4909
Goiânia,7/14/12,729.296,5208707,GO,21.29345,15.5313,28.3217
Goiânia,7/15/12,729.296,5208707,GO,22.17602,16.0064,30.18502
Goiânia,7/16/12,729.296,5208707,GO,22.39984,16.73693,29.25213
Goiânia,7/17/12,729.296,5208707,GO,21.9502,18.82113,27.25677
Goiânia,7/18/12,729.296,5208707,GO,18.1684,15.2993,22.24304
Goiânia,7/19/12,729.296,5208707,GO,17.89642,12.1193,25.47363
Goiânia,7/20/12,729.296,5208707,GO,20.55685,14.08505,29.27435
Goiânia,7/21/12,729.296,5208707,GO,22.97112,16.98495,29.91726
Goiânia,7/22/12,729.296,5208707,GO,23.5352,19.07287,29.45205
Goiânia,7/23/12,729.296,5208707,GO,24.2563,18.7903,30.01846
Goiânia,7/24/12,729.296,5208707,GO,23.62475,18.07458,29.41503
Goiânia,7/25/12,729.296,5208707,GO,22.27853,15.672,30.1085
Goiânia,7/26/12,729.296,5208707,GO,22.8789,16.54318,30.46145
Goiânia,7/27/12,729.296,5208707,GO,22.3002,15.6769,30.27142
Goiânia,7/28/12,729.296,5208707,GO,22.5,16.49505,30.11224
Goiânia,7/29/12,729.296,5208707,GO,23.2311,16.5691,30.42938
Goiânia,7/30/12,729.296,5208707,GO,22.59936,16.0508,30.04064
Goiânia,7/31/12,729.296,5208707,GO,21.41357,14.99328,27.93545
Goiânia,8/1/12,729.296,5208707,GO,21.068,14.9032,27.53933
Goiânia,8/2/12,729.296,5208707,GO,21.53408,14.9032,27.69854
Goiânia,8/3/12,729.296,5208707,GO,21.93298,16.68633,28.03417
Goiânia,8/4/12,729.296,5208707,GO,22.48248,16.41485,29.05346
Goiânia,8/5/12,729.296,5208707,GO,22.4112,16.10266,29.71243
Goiânia,8/6/12,729.296,5208707,GO,22.86587,16.30255,30.23934
Goiânia,8/7/12,729.296,5208707,GO,23.23235,16.63943,30.79092
Goiânia,8/8/12,729.296,5208707,GO,24.05667,19.0914,29.9296
Goiânia,8/9/12,729.296,5208707,GO,23.06106,17.21078,29.01644
Goiânia,8/10/12,729.296,5208707,GO,22.06005,15.01302,28.90167
Goiânia,8/11/12,729.296,5208707,GO,22.54818,16.7221,28.40313
Goiânia,8/12/12,729.296,5208707,GO,21.99993,16.07797,27.4209
Goiânia,8/13/12,729.296,5208707,GO,22.0395,16.58392,27.04452
Goiânia,8/14/12,729.296,5208707,GO,22.22167,15.67074,28.86837
Goiânia,8/15/12,729.296,5208707,GO,22.76806,18.05978,28.22915
Goiânia,8/16/12,729.296,5208707,GO,22.85742,17.3675,28.78076
Goiânia,8/17/12,729.296,5208707,GO,22.31786,16.42965,28.85354
Goiânia,8/18/12,729.296,5208707,GO,22.8833,18.06347,28.11437
Goiânia,8/19/12,729.296,5208707,GO,22.1557,16.70855,27.76638
Goiânia,8/20/12,729.296,5208707,GO,21.63854,16.6678,27.49862
Goiânia,8/21/12,729.296,5208707,GO,21.94955,16.98126,27.4517
Goiânia,8/22/12,729.296,5208707,GO,21.63644,16.01257,27.39868
Goiânia,8/23/12,729.296,5208707,GO,22.63888,17.17623,27.9552
Goiânia,8/24/12,729.296,5208707,GO,23.22064,18.29547,28.83627
Goiânia,8/25/12,729.296,5208707,GO,22.73412,17.61675,28.99545
Goiânia,8/26/12,729.296,5208707,GO,23.51403,18.53115,27.97
Goiânia,8/27/12,729.296,5208707,GO,23.28655,18.39913,28.8116
Goiânia,8/28/12,729.296,5208707,GO,24.47302,19.00256,30.496
Goiânia,8/29/12,729.296,5208707,GO,24.38894,17.29962,31.19814
Goiânia,8/30/12,729.296,5208707,GO,24.48968,17.97216,31.37832
Goiânia,8/31/12,729.296,5208707,GO,25.21884,17.67352,32.80728
Goiânia,9/1/12,729.296,5208707,GO,25.96313,18.99514,33.4502
Goiânia,9/2/12,729.296,5208707,GO,26.30786,19.08523,34.17578
Goiânia,9/3/12,729.296,5208707,GO,26.67074,19.21234,34.12148
Goiânia,9/4/12,729.296,5208707,GO,26.6667,19.4295,33.78954
Goiânia,9/5/12,729.296,5208707,GO,26.3197,20.44137,32.17547
Goiânia,9/6/12,729.296,5208707,GO,25.41955,18.33743,31.77197
Goiânia,9/7/12,729.296,5208707,GO,25.47134,18.72735,31.85958
Goiânia,9/8/12,729.296,5208707,GO,26.05728,19.28512,32.92944
Goiânia,9/9/12,729.296,5208707,GO,26.36233,18.7903,33.09725
Goiânia,9/10/12,729.296,5208707,GO,26.40228,18.85076,33.85494
Goiânia,9/11/12,729.296,5208707,GO,28.26226,19.49615,35.51714
Goiânia,9/12/12,729.296,5208707,GO,28.98065,23.66088,35.80343
Goiânia,9/13/12,729.296,5208707,GO,29.07845,22.0678,35.85525
Goiânia,9/14/12,729.296,5208707,GO,28.26238,20.53762,35.29873
Goiânia,9/15/12,729.296,5208707,GO,28.68356,22.87237,35.4579
Goiânia,9/16/12,729.296,5208707,GO,27.43008,22.76254,33.0479
Goiânia,9/17/12,729.296,5208707,GO,27.81857,23.2944,32.3507
Goiânia,9/18/12,729.296,5208707,GO,27.31082,21.18917,33.6575
Goiânia,9/19/12,729.296,5208707,GO,26.87164,21.23733,32.98867
Goiânia,9/20/12,729.296,5208707,GO,23.27917,19.96752,26.52377
Goiânia,9/21/12,729.296,5208707,GO,24.1678,19.27032,31.81146
Goiânia,9/22/12,729.296,5208707,GO,22.60534,18.6089,28.74618
Goiânia,9/23/12,729.296,5208707,GO,24.21377,19.10125,31.69668
