CD_MUN,NM_MUN,SIGLA,AREA_KM2,time,t2m,t2m_min,t2m_max
4314902,Porto Alegre,RS,495.39,1/1/00,21.9344,19.96063,25.15548
4314902,Porto Alegre,RS,495.39,1/2/00,22.00976,19.24224,25.66088
4314902,Porto Alegre,RS,495.39,1/3/00,21.45013,18.71517,24.89193
4314902,Porto Alegre,RS,495.39,1/4/00,22.2066,18.3301,26.3504
4314902,Porto Alegre,RS,495.39,1/5/00,23.90606,18.1063,30.96523
4314902,Porto Alegre,RS,495.39,1/6/00,24.72238,20.29397,30.32385
4314902,Porto Alegre,RS,495.39,1/7/00,25.19055,21.38058,31.0615
4314902,Porto Alegre,RS,495.39,1/8/00,26.00927,21.07495,32.56326
4314902,Porto Alegre,RS,495.39,1/9/00,27.7633,22.40585,34.66793
4314902,Porto Alegre,RS,495.39,1/10/00,27.77532,23.04482,34.19863
4314902,Porto Alegre,RS,495.39,1/11/00,27.07598,23.53457,33.5861
4314902,Porto Alegre,RS,495.39,1/12/00,26.32342,22.41305,31.79434
4314902,Porto Alegre,RS,495.39,1/13/00,26.91702,22.8944,32.11562
4314902,Porto Alegre,RS,495.39,1/14/00,27.19012,23.26864,33.53198
4314902,Porto Alegre,RS,495.39,1/15/00,25.59075,23.23373,29.6139
4314902,Porto Alegre,RS,495.39,1/16/00,26.27676,22.43713,32.08795
4314902,Porto Alegre,RS,495.39,1/17/00,25.03506,24.0051,27.11694
4314902,Porto Alegre,RS,495.39,1/18/00,24.43203,22.63928,26.82812
4314902,Porto Alegre,RS,495.39,1/19/00,23.37942,20.16522,27.75833
4314902,Porto Alegre,RS,495.39,1/20/00,23.99786,18.945,30.14935
4314902,Porto Alegre,RS,495.39,1/21/00,26.44183,19.24825,34.56924
4314902,Porto Alegre,RS,495.39,1/22/00,26.51336,22.11703,31.87496
4314902,Porto Alegre,RS,495.39,1/23/00,23.69323,22.05447,26.67532
4314902,Porto Alegre,RS,495.39,1/24/00,23.65942,21.09298,27.1759
4314902,Porto Alegre,RS,495.39,1/25/00,22.892,20.10864,25.39974
4314902,Porto Alegre,RS,495.39,1/26/00,21.81494,18.41793,26.20962
