NM_MUN,time,AREA_KM2,CD_MUN,SIGLA,t2m,t2m_min,t2m_max
Fortaleza,1/2/12,312.353,2304400,CE,26.8298,24.66165,28.99175
Fortaleza,1/3/12,312.353,2304400,CE,26.81564,24.35934,29.59887
Fortaleza,1/4/12,312.353,2304400,CE,27.35598,25.65008,29.54583
Fortaleza,1/5/12,312.353,2304400,CE,27.23126,25.6279,29.19415
Fortaleza,1/6/12,312.353,2304400,CE,27.33276,25.9512,29.54583
Fortaleza,1/7/12,312.353,2304400,CE,27.23785,25.4798,30.0271
Fortaleza,1/8/12,312.353,2304400,CE,27.55425,25.6538,30.69592
Fortaleza,1/9/12,312.353,2304400,CE,26.73553,24.85293,29.2077
Fortaleza,1/10/12,312.353,2304400,CE,27.0472,25.08492,29.36196
Fortaleza,1/11/12,312.353,2304400,CE,27.31707,25.65255,29.90984
Fortaleza,1/12/12,312.353,2304400,CE,27.55554,25.7488,30.33187
Fortaleza,1/13/12,312.353,2304400,CE,27.1602,25.11083,29.72723
Fortaleza,1/14/12,312.353,2304400,CE,27.3014,25.2219,30.111
Fortaleza,1/15/12,312.353,2304400,CE,27.4807,25.7044,30.3751
Fortaleza,1/16/12,312.353,2304400,CE,26.9979,25.94872,28.75237
Fortaleza,1/17/12,312.353,2304400,CE,27.24493,25.17623,30.75637
Fortaleza,1/18/12,312.353,2304400,CE,26.91342,25.79324,28.93377
Fortaleza,1/19/12,312.353,2304400,CE,26.1517,24.56912,28.08972
Fortaleza,1/20/12,312.353,2304400,CE,26.58672,24.5321,28.57098
Fortaleza,1/21/12,312.353,2304400,CE,26.68926,24.92944,28.2341
Fortaleza,1/22/12,312.353,2304400,CE,27.26696,24.77764,30.24798
Fortaleza,1/23/12,312.353,2304400,CE,26.97537,24.84924,29.2151
Fortaleza,1/24/12,312.353,2304400,CE,26.58697,24.2742,28.0823
Fortaleza,1/25/12,312.353,2304400,CE,26.8109,24.72335,29.5014
Fortaleza,1/26/12,312.353,2304400,CE,27.53985,25.3638,30.1949
Fortaleza,1/27/12,312.353,2304400,CE,27.3769,25.74017,29.29162
Fortaleza,1/28/12,312.353,2304400,CE,27.3064,25.3638,30.77365
Fortaleza,1/29/12,312.353,2304400,CE,27.5548,26.0561,30.1542
Fortaleza,1/30/12,312.353,2304400,CE,27.1703,25.14044,29.8136
Fortaleza,1/31/12,312.353,2304400,CE,27.44277,25.3305,30.43554
Fortaleza,2/1/12,312.353,2304400,CE,27.41293,25.57113,30.52685
Fortaleza,2/2/12,312.353,2304400,CE,27.294,25.53408,29.6544
Fortaleza,2/3/12,312.353,2304400,CE,27.31237,24.94302,30.25167
Fortaleza,2/4/12,312.353,2304400,CE,27.62133,25.43167,30.66628
Fortaleza,2/5/12,312.353,2304400,CE,27.69772,25.6427,30.76006
Fortaleza,2/6/12,312.353,2304400,CE,27.677,25.74264,30.59966
Fortaleza,2/7/12,312.353,2304400,CE,27.89147,25.73522,30.83413
Fortaleza,2/8/12,312.353,2304400,CE,27.6615,25.502,30.41085
Fortaleza,2/9/12,312.353,2304400,CE,26.93087,25.44277,28.70916
Fortaleza,2/10/12,312.353,2304400,CE,26.4271,24.3556,29.1423
Fortaleza,2/11/12,312.353,2304400,CE,26.7054,24.82577,29.18057
Fortaleza,2/12/12,312.353,2304400,CE,26.94277,25.4366,29.58532
Fortaleza,2/13/12,312.353,2304400,CE,27.0352,24.85787,29.40392
Fortaleza,2/14/12,312.353,2304400,CE,26.63262,24.88748,28.59936
Fortaleza,2/15/12,312.353,2304400,CE,26.39202,23.61645,29.10653
Fortaleza,2/16/12,312.353,2304400,CE,25.82226,24.14214,27.94286
Fortaleza,2/17/12,312.353,2304400,CE,24.8632,23.30673,26.6237
Fortaleza,2/18/12,312.353,2304400,CE,24.98132,23.56094,26.52746
Fortaleza,2/19/12,312.353,2304400,CE,24.8299,23.1574,26.7286
Fortaleza,2/20/12,312.353,2304400,CE,25.26498,23.5708,28.13412
Fortaleza,2/21/12,312.353,2304400,CE,25.7777,23.62264,28.62155
Fortaleza,2/22/12,312.353,2304400,CE,27.06432,24.289,30.20355
Fortaleza,2/23/12,312.353,2304400,CE,26.73055,24.2742,28.64007
Fortaleza,2/24/12,312.353,2304400,CE,25.9789,24.4667,26.8989
Fortaleza,2/25/12,312.353,2304400,CE,26.08453,24.02615,29.07937
Fortaleza,2/26/12,312.353,2304400,CE,25.98916,23.80157,28.00085
Fortaleza,2/27/12,312.353,2304400,CE,24.81494,23.13766,26.20294
Fortaleza,2/28/12,312.353,2304400,CE,25.71414,23.86944,27.27157
Fortaleza,2/29/12,312.353,2304400,CE,26.25262,24.05947,28.8079
Fortaleza,3/1/12,312.353,2304400,CE,27.10656,24.5,29.74325
Fortaleza,3/2/12,312.353,2304400,CE,27.37878,25.17993,30.19613
Fortaleza,3/3/12,312.353,2304400,CE,27.24142,25.4218,30.02215
Fortaleza,3/4/12,312.353,2304400,CE,26.77325,24.58886,29.07443
Fortaleza,3/5/12,312.353,2304400,CE,26.81655,24.70855,28.84243
Fortaleza,3/6/12,312.353,2304400,CE,27.07855,24.78875,29.71243
Fortaleza,3/7/12,312.353,2304400,CE,27.28314,25.03555,29.98388
Fortaleza,3/8/12,312.353,2304400,CE,27.0484,24.52468,29.7593
Fortaleza,3/9/12,312.353,2304400,CE,25.81768,24.3692,27.07537
Fortaleza,3/10/12,312.353,2304400,CE,25.51693,23.35854,28.31182
Fortaleza,3/11/12,312.353,2304400,CE,26.23846,24.4062,28.87576
Fortaleza,3/12/12,312.353,2304400,CE,26.88128,24.75173,30.111
Fortaleza,3/13/12,312.353,2304400,CE,26.7226,24.29022,28.89428
Fortaleza,3/14/12,312.353,2304400,CE,26.5769,24.99362,27.39495
Fortaleza,3/15/12,312.353,2304400,CE,26.5398,24.79495,28.37106
Fortaleza,3/16/12,312.353,2304400,CE,27.1523,24.77642,29.93206
Fortaleza,3/17/12,312.353,2304400,CE,27.50402,25.12194,30.18997
Fortaleza,3/18/12,312.353,2304400,CE,27.04693,25.24658,28.87948
Fortaleza,3/19/12,312.353,2304400,CE,26.4719,24.61477,28.2452
Fortaleza,3/20/12,312.353,2304400,CE,26.53625,24.4309,28.62155
Fortaleza,3/21/12,312.353,2304400,CE,27.2939,25.676,29.647
Fortaleza,3/22/12,312.353,2304400,CE,26.10027,24.46423,27.1272
Fortaleza,3/23/12,312.353,2304400,CE,26.5345,24.95904,27.93298
Fortaleza,3/24/12,312.353,2304400,CE,26.3355,25.1639,27.30242
Fortaleza,3/25/12,312.353,2304400,CE,26.6363,24.33587,29.15835
Fortaleza,3/26/12,312.353,2304400,CE,26.69155,24.3248,28.91525
Fortaleza,3/27/12,312.353,2304400,CE,26.0676,24.54073,27.10128
Fortaleza,3/28/12,312.353,2304400,CE,26.60632,25.4613,28.15264
Fortaleza,3/29/12,312.353,2304400,CE,26.9264,25.25027,28.55615
Fortaleza,3/30/12,312.353,2304400,CE,26.9175,25.0726,29.0522
Fortaleza,3/31/12,312.353,2304400,CE,27.24084,26.02645,29.32864
Fortaleza,4/1/12,312.353,2304400,CE,26.87924,25.39218,28.608
Fortaleza,4/2/12,312.353,2304400,CE,26.79882,25.2984,28.15634
Fortaleza,4/3/12,312.353,2304400,CE,27.11175,25.81793,28.86712
Fortaleza,4/4/12,312.353,2304400,CE,27.35858,25.3305,29.90615
Fortaleza,4/5/12,312.353,2304400,CE,27.3903,25.58962,29.4977
Fortaleza,4/6/12,312.353,2304400,CE,27.30395,25.8907,28.90414
Fortaleza,4/7/12,312.353,2304400,CE,26.66546,24.84182,28.12426
Fortaleza,4/8/12,312.353,2304400,CE,27.13146,24.96276,29.73834
Fortaleza,4/9/12,312.353,2304400,CE,27.5158,25.8648,30.29363
