RMSE,r,r_s,K,K_s,start_date,end_date,year,Active_mosq_start,Active_mosq_May1
1488.0136651949942,0.004105343854368657,-0.08816678942520444,9999.999999900772,1.1480216001811332e-07,05-20,05-19,2005,297.025775179687,803.353806646389
3510.1790040447067,-0.0677194139085963,-0.2418106081340575,9999.999999999998,5.6644792643157585e-12,05-20,05-19,2006,96.4207864754687,786.096723807548
1484.2213558908234,0.0013440194438056096,-0.09101534809740847,9999.999999999998,1776.4777771141935,05-20,05-19,2007,425.479566265438,897.043456802459
4502.410549764408,-0.017782574937231795,-0.14781790826777136,9999.999867232858,0.01171026104408045,05-20,05-19,2008,379.209291890249,923.733666137687
3395.2441046997164,-0.013561680595897506,-0.1431667356352979,9999.999986030762,0.06611111591221148,05-20,05-19,2009,172.259464452743,684.938392371081
2819.202462693864,-0.03423901019635618,-0.22937899967134195,9999.999999999125,6.623277131703265e-10,05-20,05-19,2010,35.8073566975383,193.269822348379
2674.447031976433,-0.010676447123336945,-0.16488371855545023,9999.999999999998,1.8755514501744225e-10,05-20,05-19,2011,71.2147814274075,362.127753540531
2197.1668138997,-0.006536243851982599,-0.1706210555107487,9999.999999999962,96.52055090973045,05-20,05-19,2012,132.330885744363,804.829682537821
5070.822429838783,-0.022139385230665217,-0.22787158237549826,9999.99999999982,2.650326566591386e-09,05-20,05-19,2013,55.9957050191951,611.179271780576
2853.269525413252,0.009081575305092503,-0.10784334292940875,9999.999999999998,1.402915355588265e-14,05-20,05-19,2014,274.465023697688,686.109838245416
2598.7464548627113,0.006891358800207667,-0.14664383903937356,9999.999999999998,68.20329042128147,05-20,05-19,2015,202.378253394894,1658.71864872425
2425.21026166122,-0.010225895398727248,-0.13764697984032695,9999.999999999998,0.0001469587566104269,05-20,05-19,2016,347.656557359943,849.840151022537
5597.537969994335,0.012572016210217482,-0.11793100940952342,9999.999999770751,2.1671960600367828e-05,05-20,05-19,2017,284.019228618914,576.283333073603
4453.72255642687,0.014619416451552767,-0.15234460935944433,9999.999999999998,188.13151558670148,05-20,05-19,2018,575.005014329938,3444.74095375756
3586.374019918543,0.005247549208794374,-0.08570275078010299,9999.999999999998,349.243245470143,05-20,05-19,2019,1022.2700563095,1967.35455267004
