nu_v,mu_v,Sb
0.2,0.04,400.0
0.2,0.04,450.0
0.2,0.04,500.0
0.2,0.04,550.0
0.30000000000000004,0.04,400.0
0.30000000000000004,0.04,450.0
0.30000000000000004,0.04,500.0
0.30000000000000004,0.04,550.0
0.4000000000000001,0.04,400.0
0.4000000000000001,0.04,450.0
0.4000000000000001,0.04,500.0
0.4000000000000001,0.04,550.0
0.2,0.06,400.0
0.2,0.06,450.0
0.2,0.06,500.0
0.2,0.06,550.0
0.30000000000000004,0.06,400.0
0.30000000000000004,0.06,450.0
0.30000000000000004,0.06,500.0
0.30000000000000004,0.06,550.0
0.4000000000000001,0.06,400.0
0.4000000000000001,0.06,450.0
0.4000000000000001,0.06,500.0
0.4000000000000001,0.06,550.0
0.2,0.07999999999999999,400.0
0.2,0.07999999999999999,450.0
0.2,0.07999999999999999,500.0
0.2,0.07999999999999999,550.0
0.30000000000000004,0.07999999999999999,400.0
0.30000000000000004,0.07999999999999999,450.0
0.30000000000000004,0.07999999999999999,500.0
0.30000000000000004,0.07999999999999999,550.0
0.4000000000000001,0.07999999999999999,400.0
0.4000000000000001,0.07999999999999999,450.0
0.4000000000000001,0.07999999999999999,500.0
0.4000000000000001,0.07999999999999999,550.0
