Ih
9
23
39
50
44
28
45
45
37
22
61
83
95
102
112
77
195
176
137
261
161
144
90
89
59
46
30
45
24
40
17
7
35
15
4
11
3
14
5
3
4
5
16
7
8
4
10
6
13
6
12
