Dh
0
3
2
3
1
0
0
5
3
2
3
9
1
0
10
8
6
1
13
1
0
9
13
5
9
8
6
0
8
6
10
7
9
3
1
7
2
5
4
7
3
0
10
12
7
6
9
0
1
3
14
10
14
2
1
1
8
1
8
9
8
2
1
3
0
0
9
7
2
1
18
11
8
12
7
4
1
15
12
13
26
13
4
0
23
12
13
25
14
7
1
19
16
22
17
16
9
3
34
12
15
23
24
2
2
23
29
16
4
1
4
0
46
34
40
25
37
9
4
6
65
42
34
22
6
1
38
17
20
31
24
5
2
61
70
52
42
27
7
2
59
26
27
23
22
3
1
39
24
21
41
14
4
1
19
25
11
18
17
0
0
19
12
19
17
20
0
2
15
17
11
0
11
3
2
5
15
13
4
7
1
1
13
5
2
4
5
1
0
12
9
15
6
3
0
0
1
6
4
7
5
1
0
4
3
18
13
1
1
0
3
4
8
1
1
0
0
2
0
4
0
0
1
0
22
6
4
3
0
0
0
2
0
3
1
8
1
0
0
0
0
3
1
0
0
5
3
1
0
2
0
0
0
1
1
1
0
0
0
3
1
4
3
2
1
0
0
3
0
0
1
1
0
1
0
1
1
0
0
0
1
0
1
0
2
0
0
1
1
1
1
0
1
0
4
2
2
7
0
1
0
1
2
3
0
0
1
0
4
4
0
0
0
0
0
2
0
0
2
0
0
0
1
3
0
5
0
1
0
1
0
3
1
0
1
0
4
2
1
1
3
0
2
0
5
0
0
0
1
0
1
4
3
2
2
0
0
1
0
3
3
1
0
0
1
