Dh
0
4
28
24
76
142
165
153
307
374
249
442
248
508
731
882
1003
542
2035
1711
1161
1093
2319
4007
4999
4172
8608
2998
10640
12573
11582
6600
4382
1216
3295
250
586
941
176
90
82
91
26
24
4
7
3
3
1
2
0
0
0
0
0
0
0
