Dh
42
60
77
85
63
94
38
93
94
116
123
136
153
204
236
200
178
215
230
256
166
116
151
111
124
143
110
119
111
97
87
80
68
53
50
37
36
40
41
26
30
43
48
44
42
47
40
61
109
105
82
