Dh
21
31
52
49
24
72
56
18
12
29
16
7
10
11
4
9
4
4
6
5
9
8
4
2
7
3
2
2
4
7
6
3
4
4
0
2
3
0
1
1
1
0
1
1
2
1
1
5
2
4
1
