Dh
106
113
154
183
174
211
237
235
383
431
694
723
855
792
1124
1636
2886
3405
5294
5964
4573
2799
1865
1347
858
546
341
257
174
213
173
113
89
90
66
47
73
37
47
39
52
56
40
38
49
21
36
16
27
37
24
