Dh
144
175
239
270
354
334
443
401
289
334
516
435
269
450
441
513
690
741
654
629
490
652
516
450
352
414
301
163
221
140
189
94
86
56
79
77
48
37
52
51
45
45
65
54
61
39
47
30
19
45
30
