Dh
92
95
84
120
156
130
116
111
79
47
100
52
83
51
32
21
12
27
16
30
10
8
7
13
7
9
19
4
6
4
8
7
9
3
7
4
11
10
6
10
8
5
13
30
39
57
59
82
79
67
54
16
