Dh
35
28
36
26
37
36
26
27
13
32
32
24
14
14
11
13
8
5
5
3
7
5
3
2
2
5
1
3
3
1
3
7
3
6
6
1
5
1
20
4
5
1
11
10
10
21
18
35
30
35
39
29
24
