Dh
29
23
13
11
7
12
16
17
18
15
16
24
23
31
23
36
82
71
82
63
57
127
129
215
582
624
1037
867
773
710
883
973
948
852
897
766
715
577
431
387
330
219
188
128
68
129
101
80
67
59
31
79
30
448
