Dh
208
201
188
144
215
91
221
91
123
130
159
132
219
263
271
257
409
615
536
646
819
884
952
1885
2456
2582
2661
1343
3116
3516
4812
5120
8476
8927
12050
16527
13238
10793
6638
5765
4662
4681
1869
1507
2055
889
717
394
357
316
218
536
264
110
39
