Dh
413
670
1167
2025
2078
2031
1725
1807
646
1014
886
513
440
578
339
179
199
216
155
462
177
110
144
73
73
72
90
37
96
22
28
13
7
18
10
15
18
2
4
10
5
9
5
6
7
4
3
19
9
11
19
23
