Dh
120
170
210
259
190
259
298
223
190
257
358
319
292
200
128
105
149
153
148
101
85
76
80
62
53
49
52
66
63
41
25
36
46
38
26
24
22
35
17
27
25
31
45
40
44
44
74
112
180
248
252
240
