Dh
36
22
20
13
27
30
10
30
38
113
102
45
62
115
178
313
299
173
121
99
92
95
84
120
156
130
116
111
79
47
100
52
83
51
32
21
12
27
16
30
10
8
7
13
7
9
19
4
6
4
8
7
9
3
