Dh
9
23
39
50
44
28
45
45
37
22
61
83
95
102
112
77
195
176
137
261
161
144
90
89
59
46
30
45
24
40
17
7
35
15
4
11
3
14
5
3
4
5
16
7
8
4
10
6
13
6
12
15
25
35
154
328
424
445
340
194
425
385
469
697
1216
968
1455
2313
2424
2558
1664
1367
1311
1672
760
876
733
535
339
300
180
155
139
130
189
87
88
96
57
71
87
72
146
105
106
106
109
95
160
246
337
513
653
