a_v,Sv,K_v
0.0,10.0,10.0
0.0,10.0,60.0
0.0,10.0,110.0
0.0,10.0,160.0
0.0,10.0,210.0
0.0,10.0,260.0
0.0,10.0,310.0
0.0,10.0,360.0
0.0,10.0,410.0
0.0,10.0,460.0
0.0,10.0,510.0
0.0,10.0,560.0
0.0,10.0,610.0
0.0,10.0,660.0
0.0,10.0,710.0
0.0,10.0,760.0
0.0,10.0,810.0
0.0,10.0,860.0
0.0,10.0,910.0
0.0,10.0,960.0
0.05,10.0,10.0
0.05,10.0,60.0
0.05,10.0,110.0
0.05,10.0,160.0
0.05,10.0,210.0
0.05,10.0,260.0
0.05,10.0,310.0
0.05,10.0,360.0
0.05,10.0,410.0
0.05,10.0,460.0
0.05,10.0,510.0
0.05,10.0,560.0
0.05,10.0,610.0
0.05,10.0,660.0
0.05,10.0,710.0
0.05,10.0,760.0
0.05,10.0,810.0
0.05,10.0,860.0
0.05,10.0,910.0
0.05,10.0,960.0
0.1,10.0,10.0
0.1,10.0,60.0
0.1,10.0,110.0
0.1,10.0,160.0
0.1,10.0,210.0
0.1,10.0,260.0
0.1,10.0,310.0
0.1,10.0,360.0
0.1,10.0,410.0
0.1,10.0,460.0
0.1,10.0,510.0
0.1,10.0,560.0
0.1,10.0,610.0
0.1,10.0,660.0
0.1,10.0,710.0
0.1,10.0,760.0
0.1,10.0,810.0
0.1,10.0,860.0
0.1,10.0,910.0
0.1,10.0,960.0
0.15000000000000002,10.0,10.0
0.15000000000000002,10.0,60.0
0.15000000000000002,10.0,110.0
0.15000000000000002,10.0,160.0
0.15000000000000002,10.0,210.0
0.15000000000000002,10.0,260.0
0.15000000000000002,10.0,310.0
0.15000000000000002,10.0,360.0
0.15000000000000002,10.0,410.0
0.15000000000000002,10.0,460.0
0.15000000000000002,10.0,510.0
0.15000000000000002,10.0,560.0
0.15000000000000002,10.0,610.0
0.15000000000000002,10.0,660.0
0.15000000000000002,10.0,710.0
0.15000000000000002,10.0,760.0
0.15000000000000002,10.0,810.0
0.15000000000000002,10.0,860.0
0.15000000000000002,10.0,910.0
0.15000000000000002,10.0,960.0
0.2,10.0,10.0
0.2,10.0,60.0
0.2,10.0,110.0
0.2,10.0,160.0
0.2,10.0,210.0
0.2,10.0,260.0
0.2,10.0,310.0
0.2,10.0,360.0
0.2,10.0,410.0
0.2,10.0,460.0
0.2,10.0,510.0
0.2,10.0,560.0
0.2,10.0,610.0
0.2,10.0,660.0
0.2,10.0,710.0
0.2,10.0,760.0
0.2,10.0,810.0
0.2,10.0,860.0
0.2,10.0,910.0
0.2,10.0,960.0
0.25,10.0,10.0
0.25,10.0,60.0
0.25,10.0,110.0
0.25,10.0,160.0
0.25,10.0,210.0
0.25,10.0,260.0
0.25,10.0,310.0
0.25,10.0,360.0
0.25,10.0,410.0
0.25,10.0,460.0
0.25,10.0,510.0
0.25,10.0,560.0
0.25,10.0,610.0
0.25,10.0,660.0
0.25,10.0,710.0
0.25,10.0,760.0
0.25,10.0,810.0
0.25,10.0,860.0
0.25,10.0,910.0
0.25,10.0,960.0
0.30000000000000004,10.0,10.0
0.30000000000000004,10.0,60.0
0.30000000000000004,10.0,110.0
0.30000000000000004,10.0,160.0
0.30000000000000004,10.0,210.0
0.30000000000000004,10.0,260.0
0.30000000000000004,10.0,310.0
0.30000000000000004,10.0,360.0
0.30000000000000004,10.0,410.0
0.30000000000000004,10.0,460.0
0.30000000000000004,10.0,510.0
0.30000000000000004,10.0,560.0
0.30000000000000004,10.0,610.0
0.30000000000000004,10.0,660.0
0.30000000000000004,10.0,710.0
0.30000000000000004,10.0,760.0
0.30000000000000004,10.0,810.0
0.30000000000000004,10.0,860.0
0.30000000000000004,10.0,910.0
0.30000000000000004,10.0,960.0
0.35000000000000003,10.0,10.0
0.35000000000000003,10.0,60.0
0.35000000000000003,10.0,110.0
0.35000000000000003,10.0,160.0
0.35000000000000003,10.0,210.0
0.35000000000000003,10.0,260.0
0.35000000000000003,10.0,310.0
0.35000000000000003,10.0,360.0
0.35000000000000003,10.0,410.0
0.35000000000000003,10.0,460.0
0.35000000000000003,10.0,510.0
0.35000000000000003,10.0,560.0
0.35000000000000003,10.0,610.0
0.35000000000000003,10.0,660.0
0.35000000000000003,10.0,710.0
0.35000000000000003,10.0,760.0
0.35000000000000003,10.0,810.0
0.35000000000000003,10.0,860.0
0.35000000000000003,10.0,910.0
0.35000000000000003,10.0,960.0
0.4,10.0,10.0
0.4,10.0,60.0
0.4,10.0,110.0
0.4,10.0,160.0
0.4,10.0,210.0
0.4,10.0,260.0
