CD_MUN,NM_MUN,SIGLA,AREA_KM2,time,t2m,t2m_min,t2m_max
1302603,Manaus,AM,11401.092,1/1/00,25.94143,22.62365,30.12048
1302603,Manaus,AM,11401.092,1/2/00,25.99886,22.88116,30.39724
1302603,Manaus,AM,11401.092,1/3/00,25.62658,22.72833,29.64877
1302603,Manaus,AM,11401.092,1/4/00,26.02758,22.7163,32.17098
1302603,Manaus,AM,11401.092,1/5/00,25.30782,22.25543,29.07598
1302603,Manaus,AM,11401.092,1/6/00,25.8509,22.7187,30.5573
1302603,Manaus,AM,11401.092,1/7/00,25.9851,22.66094,30.44418
1302603,Manaus,AM,11401.092,1/8/00,26.54714,22.2169,32.78228
1302603,Manaus,AM,11401.092,1/9/00,25.7536,22.02557,29.58138
1302603,Manaus,AM,11401.092,1/10/00,26.2189,22.45757,32.2829
1302603,Manaus,AM,11401.092,1/11/00,26.36282,22.4335,32.46942
1302603,Manaus,AM,11401.092,1/12/00,24.84216,22.23016,27.84738
1302603,Manaus,AM,11401.092,1/13/00,25.31042,22.4997,30.99893
1302603,Manaus,AM,11401.092,1/14/00,24.86495,21.95577,27.9051
1302603,Manaus,AM,11401.092,1/15/00,25.29992,21.6465,30.3058
1302603,Manaus,AM,11401.092,1/16/00,24.83972,21.91967,28.59463
1302603,Manaus,AM,11401.092,1/17/00,24.97277,22.02557,29.25167
1302603,Manaus,AM,11401.092,1/18/00,24.8459,21.72112,28.70895
1302603,Manaus,AM,11401.092,1/19/00,25.4576,21.7861,29.85815
1302603,Manaus,AM,11401.092,1/20/00,25.26736,22.14352,29.97848
1302603,Manaus,AM,11401.092,1/21/00,25.66485,22.03158,31.62707
1302603,Manaus,AM,11401.092,1/22/00,25.49758,21.83184,29.93517
1302603,Manaus,AM,11401.092,1/23/00,26.21218,22.23617,31.54043
1302603,Manaus,AM,11401.092,1/24/00,25.4309,21.9907,29.06515
1302603,Manaus,AM,11401.092,1/25/00,25.68368,22.66937,29.9376
1302603,Manaus,AM,11401.092,1/26/00,26.894,23.1844,32.45498
1302603,Manaus,AM,11401.092,1/27/00,26.62075,22.23495,32.5031
1302603,Manaus,AM,11401.092,1/28/00,26.76458,22.7572,32.80154
1302603,Manaus,AM,11401.092,1/29/00,25.3366,22.41186,28.2553
1302603,Manaus,AM,11401.092,1/30/00,24.64532,22.0665,27.88708
1302603,Manaus,AM,11401.092,1/31/00,25.20083,22.12545,30.71975
1302603,Manaus,AM,11401.092,2/1/00,25.60537,21.83666,30.12048
1302603,Manaus,AM,11401.092,2/2/00,25.23397,21.90765,28.76913
1302603,Manaus,AM,11401.092,2/3/00,25.5488,21.77648,30.43456
1302603,Manaus,AM,11401.092,2/4/00,24.5034,21.90765,26.6103
1302603,Manaus,AM,11401.092,2/5/00,24.41638,22.23254,27.59948
1302603,Manaus,AM,11401.092,2/6/00,25.1648,21.66458,29.54287
1302603,Manaus,AM,11401.092,2/7/00,26.2013,21.77288,31.7895
1302603,Manaus,AM,11401.092,2/8/00,26.78417,22.58874,31.3443
1302603,Manaus,AM,11401.092,2/9/00,27.24194,22.8234,32.5705
1302603,Manaus,AM,11401.092,2/10/00,27.20306,22.44796,31.83163
1302603,Manaus,AM,11401.092,2/11/00,27.15347,23.53698,31.6752
1302603,Manaus,AM,11401.092,2/12/00,25.84835,22.65612,29.77752
1302603,Manaus,AM,11401.092,2/13/00,24.825,22.50933,29.01943
1302603,Manaus,AM,11401.092,2/14/00,25.21334,21.62847,29.6584
1302603,Manaus,AM,11401.092,2/15/00,25.77337,22.2518,31.01095
1302603,Manaus,AM,11401.092,2/16/00,24.62142,21.64413,28.3287
1302603,Manaus,AM,11401.092,2/17/00,24.625,21.61764,29.2673
1302603,Manaus,AM,11401.092,2/18/00,25.42443,21.43234,30.91107
1302603,Manaus,AM,11401.092,2/19/00,25.3481,21.7861,29.56573
1302603,Manaus,AM,11401.092,2/20/00,26.18685,22.07852,32.80154
1302603,Manaus,AM,11401.092,2/21/00,24.37853,21.94857,27.08685
1302603,Manaus,AM,11401.092,2/22/00,24.86697,21.8186,29.7655
1302603,Manaus,AM,11401.092,2/23/00,25.73812,21.70068,29.1879
