,metro,date,Rh
0,rdj,2010-01-03,57.0
1,rdj,2010-01-10,131.0
2,rdj,2010-01-17,249.0
3,rdj,2010-01-24,402.0
4,rdj,2010-01-31,611.0
5,rdj,2010-02-07,801.0
6,rdj,2010-02-14,1054.0
7,rdj,2010-02-21,1513.0
8,rdj,2010-02-28,1931.0
9,rdj,2010-03-07,2353.0
10,rdj,2010-03-14,2830.0
11,rdj,2010-03-21,3324.0
12,rdj,2010-03-28,3862.0
13,rdj,2010-04-04,4428.0
14,rdj,2010-04-11,4964.0
15,rdj,2010-04-18,5532.0
16,rdj,2010-04-25,6276.0
17,rdj,2010-05-02,7029.0
18,rdj,2010-05-09,7687.0
19,rdj,2010-05-16,8267.0
20,rdj,2010-05-23,8737.0
21,rdj,2010-05-30,9186.0
22,rdj,2010-06-06,9546.0
23,rdj,2010-06-13,9848.0
24,rdj,2010-06-20,10134.0
25,rdj,2010-06-27,10416.0
26,rdj,2010-07-04,10704.0
27,rdj,2010-07-11,10956.0
28,rdj,2010-07-18,11185.0
29,rdj,2010-07-25,11510.0
30,rdj,2010-08-01,11799.0
31,rdj,2010-08-08,12074.0
32,rdj,2010-08-15,12261.0
33,rdj,2010-08-22,12455.0
34,rdj,2010-08-29,12600.0
35,rdj,2010-09-05,12708.0
36,rdj,2010-09-12,12828.0
37,rdj,2010-09-19,12917.0
38,rdj,2010-09-26,13014.0
39,rdj,2010-10-03,13079.0
40,rdj,2010-10-10,13158.0
41,rdj,2010-10-17,13224.0
42,rdj,2010-10-24,13300.0
43,rdj,2010-10-31,13401.0
44,rdj,2010-11-07,13549.0
45,rdj,2010-11-14,13730.0
46,rdj,2010-11-21,13993.0
47,rdj,2010-11-28,14309.0
48,rdj,2010-12-05,14682.0
49,rdj,2010-12-12,15120.0
50,rdj,2010-12-19,15593.0
51,rdj,2010-12-26,16101.0
