,Susceptible Humans,Exposed Humans,Asymptomatic Infected Humans,Symptomatic Infected Humans,Recovered Humans,Susceptible Vectors,Exposed Vectors,Infected Vectors
0,60.0,0.0,20.0,20.0,0.0,723.0,0.0,0.0
1,59.99557886957994,0.002958225921660218,3.475964688364935,3.475964688364935,33.04953352776856,722.1074992229533,0.2585134300538751,0.21300673628579986
2,59.99070877456549,0.003389667491021207,0.6050888879894485,0.6050888879894485,38.795723781964604,721.9523198919519,0.07220734470269714,0.09077052453272781
3,59.98911712183563,0.001760474944425244,0.10584064658755978,0.10584064658755978,39.79744111004483,721.9252674920963,0.015455153626755178,0.023022972704797397
4,59.9887457677621,0.000685176528402899,0.018690827552289103,0.018690827552289103,39.97318740060495,1379.0,0.0030075907441151715,0.004857756000252071
5,59.98868019912035,0.0002278830851089889,0.0033534823613605566,0.0033534823613605566,40.00438495307183,1378.9992643679855,0.0005312842093128698,0.0009192909769981779
6,59.98866807177292,7.110328497893943e-05,0.0006165169170245299,0.0006165169170245299,40.01002779110807,1378.9991313109765,9.492529898085497e-05,0.00016619340001792585
7,59.988665884264464,2.1419971495195958e-05,0.00011745284111412538,0.00011745284111412538,40.01107779008183,1378.999106552207,1.7295296746158844e-05,3.002964639002118e-05
8,59.9886654867785,6.327649663684902e-06,2.348100992730724e-05,2.348100992730724e-05,40.01128122355201,1206.0,3.247450630727042e-06,5.527709745678348e-06
9,59.988665410115196,1.850325933758277e-06,4.985472074438559e-06,4.985472074438559e-06,40.011322768614754,1205.999998986521,6.470962586291102e-07,1.0605104509947007e-06
10,59.98866539512905,5.378644601066779e-07,1.1285360485067753e-06,1.1285360485067753e-06,40.011331809934426,1205.9999987659608,1.3511418445080627e-07,2.1337182465847532e-07
11,59.98866539203047,1.5494599861912945e-07,2.67307013329612e-07,2.67307013329612e-07,40.011333918409534,1205.9999987145247,2.9234146871478718e-08,4.406873393821527e-08
12,59.98866539137741,4.4484140090419915e-08,6.806158322923903e-08,6.806158322923903e-08,40.011334428015324,1363.0,6.910499433413411e-09,9.985014778588802e-09
13,59.98866539123425,1.3053239346991513e-08,1.9485223324360117e-08,1.9485223324360117e-08,40.0113345567421,1362.9999999969555,1.976220491960294e-09,2.400647692375014e-09
14,59.98866539119719,4.704676283406791e-09,7.964355637430528e-09,7.964355637430528e-09,40.01133458816947,1362.9999999962122,9.521263843024028e-10,1.3924436421052288e-10
15,59.988665391191425,1.339938460332215e-09,1.9382501211986725e-09,1.9382501211986725e-09,40.011334603592175,1362.9999999958472,1.78476545957987e-10,6.513462167230883e-10
16,59.98866539118417,3.8580949451138106e-10,5.247889493358723e-10,5.247889493358723e-10,40.01133460738049,490.0,4.681390278091495e-11,8.358186855897997e-11
17,59.988665391171615,-4.59309900637045e-10,-8.263532302262981e-10,-8.263532302262981e-10,40.01133461094045,489.9999999998987,1.460672411747074e-11,-9.167581196075325e-10
18,59.98866539116629,-3.115972740205582e-10,-5.626463976709571e-10,-5.626463976709571e-10,40.011334610270666,489.9999999999178,1.0911855383450964e-11,-1.4143691230357205e-09
19,59.98866539117275,-9.101844563782017e-11,-1.602518249399814e-10,-1.602518249399814e-10,40.01133460923884,489.99999999994714,-1.687611725909933e-11,-8.321391968841723e-10
