Year,RiodeJaneiro,Portoalegre,Goiania,Fortaleza,Manaus,,,,,,,
2000,5613897,1321886,1073490,2139372,1285841,,,,,,,
2001,5897485,1373313,1111622,2183612,1451958,,,,,,,
2002,5937253,1383454,1129274,2219837,1488805,,,,,,,
2003,5974081,1394085,1146106,2256233,1527314,,,,,,,
2004,6051399,1416363,1181438,2332657,1592555,,,,,,,
2005,6094183,1428696,1201006,2374944,1644690,,,,,,,
2006,6136652,1440939,1220412,2416920,1688524,,,,,,,
2007,6093462,,,,,,,,,,,
2008,6161047,1430220,1265394,2473614,1709010,,,,,,,
2009,6186710,1436123,1281975,2505552,1738641,,,,,,,
2010,6320446,1409351,2173141,2452185,1802014,,,,,,,
2011,6355949,1413094,1318148,2476589,1832423,,,,,,,
2012,6390290,1416714,1333767,2500194,1861838,,,,,,,
2013,6429923,1467816,1393575,2551806,1982177,,,,,,,
2014,6453682,1472482,1412364,2571896,2020301,,,,,,,
2015,6476631,1476867,1430697,2591188,2057711,,,,,,,
2016,6498837,1481019,1448639,2609716,2094391,,,,,,,
2017,6520266,1484941,1466105,2627482,2130264,,,,,,,
2018,6688927,1479101,1495705,2643247,2145444,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,ß
